"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [M]","1A: O2 slope neg. [pmol/(s*mL)]","1B: O2 concentration [M]","1B: O2 slope neg. [pmol/(s*mL)]","1: Block temp. [C]","1: Peltier power [%]"
1.00,"","","",186.1939,3.6147,186.6786,3.3540,37.0010,11.7410
1.03,"","","",186.2319,3.5243,186.6796,3.3540,37.0010,11.7200
1.07,"","","",186.2473,3.3436,186.7001,3.4472,37.0000,11.6920
1.10,"","","",186.2039,3.3436,186.6935,3.4472,36.9990,11.7200
1.13,"","","",186.2003,3.1628,186.6898,3.4472,36.9990,11.7330
1.17,"","","",186.1659,3.3436,186.6917,3.0745,36.9980,11.8050
1.20,"","","",186.2066,3.3436,186.6451,3.1677,36.9990,11.8070
1.23,"","","",186.3159,2.9821,186.6954,3.1677,36.9990,11.8320
1.27,"","","",186.4126,2.3495,186.7802,2.8882,37.0000,11.8660
1.30,"","","",186.4822,1.6266,186.4467,3.4472,37.0000,11.8920
1.33,"","","",186.5491,1.4459,186.4392,3.5404,37.0010,11.8690
1.37,"","","",186.6169,0.7229,186.6414,3.5404,37.0030,11.8400
1.40,"","","",186.6720,-0.1807,187.9429,1.1180,36.9990,11.8840
1.43,"","","",186.6946,-0.9940,188.4535,-2.0497,36.9980,11.9210
1.47,"","","",186.7172,-1.8977,187.3047,-2.9814,37.0000,11.8990
1.50,"","","",186.0349,-1.5362,187.7249,-4.7516,37.0010,11.8510
1.53,"","","",183.4052,3.5243,189.1094,-8.9441,37.0020,11.8210
1.57,"","","",182.7374,9.6692,190.1622,-14.9069,37.0010,11.7940
1.60,"","","",186.0611,9.4885,190.8255,-21.6150,37.0010,11.7590
1.63,"","","",189.5258,3.0725,191.2355,-28.7889,37.0000,11.7490
1.67,"","","",191.5427,-6.8679,191.4665,-35.8696,37.0010,11.7220
1.70,"","","",192.5946,-18.1637,191.6752,-42.9504,37.0000,11.7240
1.73,"","","",193.2019,-30.0017,191.7842,-49.7517,36.9990,11.7640
1.77,"","","",193.5426,-41.7493,191.8429,-56.1802,37.0000,11.7560
1.80,"","","",193.7576,-53.3163,191.9203,-62.2362,37.0000,11.7590
1.83,"","","",193.9293,-64.5217,191.9706,-67.8262,37.0000,11.7880
1.87,"","","",194.0332,-75.0946,192.0023,-72.9505,37.0010,11.7560
1.90,"","","",194.1652,-85.2157,192.0339,-77.7020,37.0010,11.7080
1.93,"","","",194.2772,-94.7041,192.0619,-82.0809,36.9990,11.7440
1.97,"","","",193.6727,-102.3853,192.1085,-85.9008,37.0000,11.7250
2.00,"","","",176.3801,-77.7152,192.1131,-89.2548,37.0010,11.6950
2.03,"","","",175.7801,-52.7741,192.1243,-92.1430,37.0010,11.6690
2.07,"","","",184.0206,-43.9181,192.1439,-94.5654,37.0000,11.6770
2.10,"","","",189.5005,-45.3640,192.1550,-96.5219,36.9980,11.7530
2.13,"","","",192.6786,-52.3222,192.1560,-98.0126,36.9970,11.7840
2.17,"","","",194.4661,-61.9011,192.1662,-98.8511,36.9960,11.8360
2.20,"","","",195.4059,-72.4740,192.2007,-99.3170,36.9940,11.8970
2.23,"","","",195.7827,-82.9565,192.2193,-99.2238,36.9940,11.9400
2.27,"","","",195.8686,-92.6257,188.9668,-92.6089,36.9930,11.9870
2.30,"","","",195.8053,-101.1202,174.2184,-58.8821,36.9890,12.2500
2.33,"","","",195.6282,-108.4399,173.9649,-25.8075,36.9890,12.4650
2.37,"","","",195.3905,-114.4040,179.9706,-4.9379,36.9910,12.6740
2.40,"","","",195.1185,-119.1935,184.7128,6.7081,36.9910,12.9050
2.43,"","","",194.7869,-122.3563,187.8758,12.2982,36.9920,12.9860
2.47,"","","",194.4372,-124.0733,189.8967,14.2547,36.9930,13.0010
2.50,"","","",194.1326,-124.4347,190.9047,14.7205,36.9950,13.0110
2.53,"","","",193.8218,-123.5311,191.8168,14.0684,36.9930,13.0700
2.57,"","","",193.5462,-121.6334,192.4010,12.6708,36.9900,13.2900
2.60,"","","",193.2516,-118.6513,192.7327,10.9938,36.9900,13.5010
2.63,"","","",192.9922,-114.7655,192.8780,10.3416,36.9930,13.5740
2.67,"","","",192.7383,-109.8857,192.9004,10.2485,36.9940,13.6080
2.70,"","","",192.5277,-104.1926,192.8650,10.3416,36.9960,13.6210
2.73,"","","",192.2774,-97.5959,192.7709,8.7578,36.9960,13.6490
2.77,"","","",192.0551,-90.0954,192.6330,6.8944,36.9960,13.6800
2.80,"","","",191.8464,-81.7817,192.4420,8.0124,36.9960,13.7030
2.83,"","","",191.6575,-71.2992,192.2035,9.2236,36.9960,13.7380
2.87,"","","",191.2518,-54.4910,191.9408,8.6646,36.9960,13.7600
2.90,"","","",190.9852,-35.1526,191.6985,6.8013,36.9990,13.7620
2.93,"","","",190.6861,-20.8747,191.4814,4.1926,36.9990,13.7880
2.97,"","","",190.6915,-12.9224,191.2727,1.2112,37.0000,13.7630
3.00,"","","",190.8587,-8.9463,191.0603,-1.7702,37.0010,13.7350
3.03,"","","",191.1153,-7.5908,190.8255,-4.7516,37.0000,13.7300
3.07,"","","",191.3756,-8.0426,190.6420,-7.7329,37.0010,13.7050
3.10,"","","",191.6647,-9.7596,190.4389,-10.5280,37.0010,13.6540
3.13,"","","",191.9304,-12.6513,189.9824,-12.8572,37.0020,13.6340
3.17,"","","",192.2087,-16.4467,189.8613,-15.1864,36.9990,13.6720
3.20,"","","",192.4907,-21.2361,189.7178,-17.5156,37.0000,13.6950
3.23,"","","",192.7509,-26.8389,189.7653,-20.1243,37.0000,13.6690
3.27,"","","",193.0564,-33.3453,189.9712,-23.4783,37.0020,13.6170
3.30,"","","",193.3248,-39.3094,190.2404,-27.5777,37.0010,13.5930
3.33,"","","",193.6329,-12.5610,190.5246,-32.4224,37.0010,13.5640
3.37,"","","",193.9167,16.3563,190.6634,-37.6398,37.0020,13.5180
3.40,"","","",194.2013,30.6343,191.1116,-43.7889,37.0020,13.4990
3.43,"","","",194.4914,34.7911,191.4013,-50.6833,37.0010,13.4590
3.47,"","","",194.7625,32.8934,191.7032,-58.2299,37.0000,13.4620
3.50,"","","",194.9866,27.2907,192.0097,-66.3355,37.0000,13.4590
3.53,"","","",195.2152,19.4288,192.3162,-75.0933,37.0000,13.4590
3.57,"","","",195.4800,10.4825,192.6228,-84.4101,37.0000,13.4970
3.60,"","","",195.7312,0.7229,192.9209,-88.0437,37.0010,13.4520
3.63,"","","",195.9653,-9.2174,193.1967,-63.3542,37.0020,13.4280
3.67,"","","",196.2662,-19.4288,193.4743,-36.9877,37.0010,13.4000
3.70,"","","",196.5400,-29.5499,193.7622,-20.8696,37.0010,13.3600
3.73,"","","",196.8292,-39.6709,194.0492,-13.0435,37.0020,13.3100
3.77,"","","",197.0208,-49.2498,194.3398,-10.9938,37.0030,13.2640
3.80,"","","",197.1852,-58.2864,194.6156,-12.7640,37.0020,13.2580
3.83,"","","",197.3976,-66.8712,194.8849,-16.4907,37.0030,13.2200
3.87,"","","",197.6307,-75.0042,195.1401,-22.0808,37.0040,13.1480
3.90,"","","",197.8937,-82.6854,195.3964,-28.8820,37.0030,13.1520
3.93,"","","",198.0862,-89.8243,195.6824,-36.6150,37.0030,13.0930
3.97,"","","",198.2859,-96.2404,195.9535,-44.8138,37.0030,13.0880
4.00,"","","",198.5055,-102.2046,196.2237,-53.2920,37.0020,13.0630
4.03,"","","",198.7395,-107.5362,196.4724,-61.8635,37.0000,13.0650
4.07,"","","",198.8850,-112.1449,196.7007,-70.3418,37.0000,13.0810
4.10,"","","",199.1037,-116.1210,196.9467,-78.5405,36.9980,13.1300
4.13,"","","",199.3043,-119.3742,197.1647,-86.4598,37.0000,13.1460
4.17,"","","",199.4842,-121.9045,197.3613,-93.8201,37.0000,13.1280
4.20,"","","",199.6324,-123.1696,197.5774,-100.5282,37.0010,13.0930
4.23,"","","",199.8068,-123.4407,197.7908,-106.6772,37.0010,13.0660
4.27,"","","",199.9785,-122.6274,197.9883,-112.2673,37.0010,13.0350
4.30,"","","",200.2035,-121.3623,198.1728,-117.1120,37.0010,13.0130
4.33,"","","",200.3824,-119.9164,198.3843,-121.3046,37.0000,13.0300
4.37,"","","",200.5595,-118.3802,198.5976,-124.6586,37.0010,13.0070
4.40,"","","",200.7809,-116.7536,198.8091,-127.4537,37.0020,12.9880
4.43,"","","",200.8993,-115.1270,198.9870,-129.3170,37.0010,12.9550
4.47,"","","",201.0710,-113.4100,199.1771,-129.8760,37.0010,12.9370
4.50,"","","",201.2002,-111.6931,199.3886,-129.7829,37.0010,12.9210
4.53,"","","",201.3475,-109.8857,199.5824,-128.8512,37.0000,12.9080
4.57,"","","",201.5219,-107.9880,199.7473,-127.3605,37.0030,12.8460
4.60,"","","",201.7243,-106.3614,199.8908,-125.5903,37.0020,12.8130
4.63,"","","",201.8391,-104.5541,200.0827,-123.7270,37.0010,12.8020
4.67,"","","",201.9738,-102.8371,200.2681,-121.8636,37.0000,12.7700
4.70,"","","",202.0867,-101.0298,200.4433,-119.7207,37.0000,12.7480
4.73,"","","",202.2177,-99.3128,200.6380,-117.8574,36.9990,12.8030
4.77,"","","",202.3578,-97.5959,200.7768,-115.9009,36.9990,12.8310
4.80,"","","",202.4626,-95.8789,200.9445,-113.9443,37.0000,12.8410
4.83,"","","",202.6325,-94.2523,201.1066,-111.9878,37.0010,12.8130
4.87,"","","",202.7464,-92.4450,201.2538,-110.0313,37.0000,12.8230
4.90,"","","",202.8856,-90.7280,201.3880,-108.0748,37.0010,12.7730
4.93,"","","",203.0247,-89.1014,201.5007,-106.1182,37.0030,12.7230
4.97,"","","",203.1530,-87.3845,201.6544,-104.1617,37.0020,12.7200
5.00,"","","",203.2823,-85.9386,201.7914,-102.1120,37.0010,12.6960
5.03,"","","",203.3347,-84.3120,201.9237,-100.1555,37.0010,12.6700
5.07,"","","",203.4702,-82.9565,202.0644,-98.1990,37.0000,12.6630
5.10,"","","",203.5778,-81.5106,202.2237,-96.4288,37.0000,12.6710
5.13,"","","",203.6862,-79.9744,202.3653,-94.6586,37.0020,12.6250
5.17,"","","",203.8145,-78.4382,202.4948,-92.8884,37.0010,12.6050
5.20,"","","",203.9031,-76.9923,202.6103,-91.1182,37.0010,12.5830
5.23,"","","",204.0187,-75.5464,202.7184,-89.3480,37.0020,12.5170
5.27,"","","",204.1209,-74.1909,202.8340,-87.6710,37.0020,12.5090
5.30,"","","",204.2284,-72.8354,202.9504,-85.9940,37.0000,12.5160
5.33,"","","",204.3269,-71.4799,203.0948,-84.5033,37.0000,12.5500
5.37,"","","",204.4127,-70.2148,203.2346,-83.1058,37.0010,12.5090
5.40,"","","",204.4959,-68.8593,203.3436,-81.7082,37.0000,12.5020
5.43,"","","",204.5998,-67.5942,203.4815,-80.4039,37.0010,12.4740
5.47,"","","",204.6911,-66.3290,203.5439,-79.0064,36.9990,12.5150
5.50,"","","",204.7823,-65.0639,203.6026,-77.5157,37.0010,12.4810
5.53,"","","",204.8474,-63.7084,203.6967,-75.9318,37.0000,12.4910
5.57,"","","",204.8881,-62.2626,203.8187,-74.5343,37.0030,12.4250
5.60,"","","",204.9911,-60.9071,203.9249,-73.1368,37.0030,12.3840
5.63,"","","",205.1230,-59.7323,204.0144,-71.6461,37.0010,12.4000
5.67,"","","",205.1953,-58.6479,204.1085,-70.1554,37.0000,12.3780
5.70,"","","",205.2739,-57.4731,204.2063,-68.7579,37.0000,12.3410
5.73,"","","",205.3779,-56.5695,204.2967,-67.4536,37.0010,12.3140
5.77,"","","",205.4980,-55.5754,204.4169,-66.1492,37.0000,12.3120
5.80,"","","",205.5857,-54.7621,204.5249,-64.9380,37.0000,12.3180
5.83,"","","",205.6462,-53.7681,204.6246,-63.7268,36.9990,12.3490
5.87,"","","",205.6806,-52.7741,204.6843,-62.6088,36.9990,12.3630
5.90,"","","",205.7240,-51.7800,204.7420,-61.3976,36.9990,12.4170
5.93,"","","",205.7917,-50.8764,204.7961,-60.0933,37.0000,12.3880
5.97,"","","",205.8767,-49.9727,204.9051,-58.8821,37.0000,12.3740
6.00,"","","",205.9381,-49.1594,205.0178,-57.7641,37.0010,12.3400
6.03,"","","",205.9996,-48.1654,205.0709,-56.6461,37.0000,12.3410
6.07,"","","",206.0547,-47.2617,205.0933,-55.5281,36.9990,12.3780
6.10,"","","",206.1180,-46.2677,205.1846,-54.4100,36.9980,12.4160
6.13,"","","",206.1794,-45.3640,205.2600,-53.3852,37.0010,12.3830
6.17,"","","",206.2128,-44.4603,205.3225,-52.3604,37.0010,12.3430
6.20,"","","",206.2571,-43.4663,205.3933,-51.3355,37.0030,12.2740
6.23,"","","",206.3240,-42.5626,205.4585,-50.3107,37.0010,12.2940
6.27,"","","",206.3728,-41.6590,205.5498,-49.1926,37.0010,12.2410
6.30,"","","",206.4614,-40.9360,205.6029,-48.1678,37.0010,12.2370
6.33,"","","",206.5553,-40.3035,205.6243,-47.1430,36.9990,12.2860
6.37,"","","",206.6285,-39.4902,205.6868,-46.0249,36.9990,12.2850
6.40,"","","",206.6656,-38.8576,205.7836,-45.0933,36.9990,12.3270
6.43,"","","",206.6800,-38.0443,205.8423,-44.1616,37.0000,12.3020
6.47,"","","",206.7388,-37.3214,205.8796,-43.2299,37.0000,12.3090
6.50,"","","",206.8057,-36.5985,205.9225,-42.2982,37.0000,12.2950
6.53,"","","",206.8346,-35.8755,205.9635,-41.3665,37.0010,12.2620
6.57,"","","",206.8590,-35.1526,206.0427,-40.4349,37.0000,12.2490
6.60,"","","",206.8581,-34.3393,206.1125,-39.5964,37.0030,12.2010
6.63,"","","",206.9168,-33.6164,206.1228,-38.6647,37.0010,12.2030
6.67,"","","",206.9529,-32.8031,206.1340,-37.7330,37.0010,12.1740
6.70,"","","",206.9566,-31.9898,206.2187,-36.8945,37.0010,12.1320
6.73,"","","",206.9927,-31.1765,206.2318,-36.0560,37.0010,12.1150
6.77,"","","",207.0524,-30.3632,206.2868,-35.3106,37.0010,12.0780
6.80,"","","",207.1201,-29.7306,206.3948,-34.6585,37.0000,12.0890
6.83,"","","",207.1870,-29.0980,206.4535,-33.9131,36.9990,12.1350
6.87,"","","",207.2268,-28.4655,206.4880,-33.1678,36.9980,12.1710
6.90,"","","",207.2069,-27.5618,206.5085,-32.4224,36.9980,12.1950
6.93,"","","",207.2846,-26.9292,206.5225,-31.5839,36.9980,12.2320
6.97,"","","",207.3677,-26.3870,206.5383,-30.8386,36.9990,12.2450
7.00,"","","",207.3713,-25.7545,206.5541,-30.0001,37.0000,12.2340
7.03,"","","",207.4003,-25.2123,206.6026,-29.1615,37.0010,12.1930
7.07,"","","",207.4120,-24.6701,206.6641,-28.4162,37.0020,12.1490
7.10,"","","",207.4355,-24.2182,206.7433,-27.8572,37.0020,12.1450
7.13,"","","",207.4698,-23.7664,206.7917,-27.3914,37.0000,12.1120
7.17,"","","",207.4870,-23.3146,206.8141,-26.8324,37.0000,12.1000
7.20,"","","",207.5367,-22.8627,206.8336,-26.3665,37.0010,12.0660
7.23,"","","",207.5620,-22.3205,206.8905,-25.8075,37.0020,12.0110
7.27,"","","",207.5774,-21.7783,206.9352,-25.2485,37.0000,11.9980
7.30,"","","",207.6433,-21.3265,206.9650,-24.7827,36.9990,12.0390
7.33,"","","",207.6614,-20.9650,206.9967,-24.4100,36.9980,12.0800
7.37,"","","",207.6515,-20.4228,207.0340,-24.0373,36.9990,12.0820
7.40,"","","",207.6533,-19.8806,207.0936,-23.5715,36.9980,12.1260
7.43,"","","",207.6650,-19.3384,207.0917,-23.1056,37.0000,12.0960
7.47,"","","",207.7048,-18.8866,207.0703,-22.5466,37.0010,12.0550
7.50,"","","",207.7437,-18.3444,207.1364,-22.0808,37.0010,12.0260
7.53,"","","",207.7500,-17.8022,207.1635,-21.7081,37.0010,11.9880
7.57,"","","",207.8205,-17.3504,207.1914,-21.2423,36.9990,12.0430
7.60,"","","",207.8720,-16.9889,207.1644,-20.7764,36.9990,12.0610
7.63,"","","",207.9018,-16.7178,207.2315,-20.4038,37.0000,12.0770
7.67,"","","",207.8937,-16.4467,207.3041,-20.0311,37.0000,12.0920
7.70,"","","",207.8738,-16.0852,207.3489,-19.6584,37.0000,12.0830
7.73,"","","",207.9099,-15.8141,207.3507,-19.3789,37.0000,12.1030
7.77,"","","",207.9551,-15.5430,207.3386,-19.0062,37.0010,12.0670
7.80,"","","",208.0003,-15.3623,207.3396,-18.6336,37.0010,12.0440
7.83,"","","",208.0265,-15.1816,207.3470,-18.1677,37.0010,12.0150
7.87,"","","",208.0735,-15.0912,207.3582,-17.6087,37.0000,12.0220
7.90,"","","",208.0825,-14.9105,207.3703,-17.1429,37.0010,11.9740
7.93,"","","",208.0636,-14.6394,207.3731,-16.7702,37.0000,11.9950
7.97,"","","",208.0166,-14.1875,207.4057,-16.3044,37.0000,12.0200
8.00,"","","",208.0265,-13.7357,207.4271,-15.7454,37.0000,12.0500
8.03,"","","",208.0825,-13.3742,207.4504,-15.2795,37.0000,12.0310
8.07,"","","",208.1277,-13.0128,207.4774,-14.8137,37.0010,11.9790
8.10,"","","",208.1223,-12.6513,207.4886,-14.3479,37.0000,11.9710
8.13,"","","",208.1431,-12.2899,207.4802,-13.8820,36.9990,12.0240
8.17,"","","",208.1602,-12.1091,207.4858,-13.5093,37.0000,12.0330
8.20,"","","",208.1575,-11.8380,207.5138,-13.1367,37.0010,12.0170
8.23,"","","",208.1666,-11.4766,207.5045,-12.7640,37.0010,11.9860
8.27,"","","",208.1874,-11.2055,207.5212,-12.2982,37.0010,11.9630
8.30,"","","",208.1720,-10.9344,207.5725,-11.8323,37.0000,11.9450
8.33,"","","",208.1946,-10.7536,207.5604,-11.2733,37.0000,11.9550
8.37,"","","",208.1982,-10.4825,207.5408,-10.7143,37.0010,11.9070
8.40,"","","",208.2289,-10.2114,207.5641,-10.2485,37.0000,11.9000
8.43,"","","",208.2931,-10.0307,207.6163,-9.8758,37.0000,11.9220
8.47,"","","",208.2822,-9.8500,207.5986,-9.5031,37.0000,11.9270
8.50,"","","",208.2813,-9.5789,207.6228,-9.2236,37.0000,11.9560
8.53,"","","",208.3301,-9.3981,207.6591,-8.9441,37.0010,11.9330
8.57,"","","",208.3654,-9.3078,207.7076,-8.6646,37.0010,11.9080
8.60,"","","",208.3572,-9.1270,207.7048,-8.4783,37.0000,11.9080
8.63,"","","",208.3328,-9.0367,207.6545,-8.1988,37.0010,11.8710
8.67,"","","",208.2750,-8.6752,207.6712,-7.9193,37.0000,11.8870
8.70,"","","",208.2669,-8.3137,207.6852,-7.7329,36.9990,11.9290
8.73,"","","",208.2967,-7.9523,207.6880,-7.5466,36.9990,11.9540
8.77,"","","",208.2877,-7.5004,207.6992,-7.3603,37.0010,11.9020
8.80,"","","",208.2967,-7.1390,207.6731,-6.9876,37.0010,11.8740
8.83,"","","",208.2877,-6.6871,207.6982,-6.7081,37.0000,11.8770
8.87,"","","",208.3238,-6.3257,207.7243,-6.5218,36.9990,11.9100
8.90,"","","",208.3654,-6.1449,207.7225,-6.3354,36.9980,11.9670
8.93,"","","",208.3618,-5.9642,207.7625,-6.1491,36.9990,11.9750
8.97,"","","",208.3771,-5.7835,207.7551,-5.9627,37.0000,12.0020
9.00,"","","",208.4006,-5.6931,207.7802,-5.9627,37.0010,11.9550
9.03,"","","",208.3943,-5.4220,207.8026,-5.9627,37.0010,11.9390
9.07,"","","",208.4088,-5.2413,207.8026,-5.9627,37.0010,11.9130
9.10,"","","",208.4160,-5.0605,207.8110,-5.9627,37.0020,11.8650
9.13,"","","",208.4557,-5.0605,207.7802,-5.8696,37.0020,11.8470
9.17,"","","",208.4928,-5.0605,207.7691,-5.6832,36.9990,11.8880
9.20,"","","",208.4847,-5.1509,207.8035,-5.4969,37.0000,11.8820
9.23,"","","",208.4892,-5.2413,207.8287,-5.4037,36.9980,11.9460
9.27,"","","",208.4865,-5.1509,207.8287,-5.2174,36.9990,11.9550
9.30,"","","",208.5190,-5.0605,207.8166,-5.1242,36.9990,11.9690
9.33,"","","",208.5371,-5.0605,207.8175,-4.9379,37.0000,11.9910
9.37,"","","",208.5398,-4.9702,207.7793,-4.7516,37.0000,12.0110
9.40,"","","",208.5118,-4.9702,207.7700,-4.5652,37.0010,11.9670
9.43,"","","",208.4621,-4.7894,207.7774,-4.3789,37.0020,11.9230
9.47,"","","",208.4160,-4.6087,207.8063,-4.1926,37.0020,11.9090
9.50,"","","",208.4196,-4.3376,207.7914,-3.9131,37.0020,11.8830
9.53,"","","",208.4693,-4.1569,207.8184,-3.7267,37.0000,11.9090
9.57,"","","",208.4910,-4.0665,207.8222,-3.5404,36.9990,11.9410
9.60,"","","",208.5009,-3.9761,207.7896,-3.3540,37.0010,11.9040
9.63,"","","",208.5452,-3.8858,207.7970,-3.1677,37.0000,11.9370
9.67,"","","",208.5262,-3.7050,207.8156,-2.9814,37.0010,11.9160
9.70,"","","",208.5362,-3.6147,207.8100,-2.7019,37.0010,11.9000
9.73,"","","",208.5063,-3.5243,207.7896,-2.4224,36.9990,11.9400
9.77,"","","",208.4774,-3.3436,207.7625,-2.2360,36.9990,11.9770
9.80,"","","",208.4693,-3.2532,207.7933,-1.9565,37.0000,12.0020
9.83,"","","",208.5109,-3.1628,207.7989,-1.7702,37.0010,11.9800
9.87,"","","",208.5687,-3.2532,207.7644,-1.5839,37.0010,11.9380
9.90,"","","",208.5561,-3.3436,207.7290,-1.3975,37.0020,11.9060
9.93,"","","",208.5660,-3.4339,207.7476,-1.2112,37.0030,11.8610
9.97,"","","",208.5741,-3.4339,207.7970,-1.1180,37.0020,11.8530
10.00,"","","",208.5823,-3.3436,207.8007,-0.9317,37.0010,11.8210
10.03,"","","",208.5154,-3.0725,207.8035,-0.8385,37.0000,11.8310
10.07,"","","",208.5045,-2.8917,207.7961,-0.6522,36.9990,11.8870
10.10,"","","",208.5398,-2.6206,207.7942,-0.5590,36.9980,11.9310
10.13,"","","",208.5199,-2.4399,207.8222,-0.3727,37.0000,11.9240
10.17,"","","",208.5506,-2.1688,207.7579,-0.1863,37.0020,11.8650
10.20,"","","",208.5985,-2.0784,207.7178,0.0932,37.0020,11.8350
10.23,"","","",208.5750,-1.9881,207.7420,0.2795,37.0010,11.8170
10.27,"","","",208.6184,-1.9881,207.7364,0.4658,37.0020,11.7740
10.30,"","","",208.6329,-1.9881,207.7355,0.5590,36.9990,11.8180
10.33,"","","",208.6591,-1.9881,207.7644,0.6522,36.9980,11.8520
10.37,"","","",208.6311,-1.9881,207.7681,0.6522,36.9980,11.8860
10.40,"","","",208.5795,-1.8977,207.7635,0.6522,36.9980,11.9170
10.43,"","","",208.6202,-1.8073,207.7486,0.6522,36.9990,11.9300
10.47,"","","",208.5940,-1.8073,207.7122,0.8385,37.0000,11.9330
10.50,"","","",208.5768,-1.8073,207.7243,0.9317,37.0010,11.8940
10.53,"","","",208.5741,-1.8073,207.6796,1.1180,37.0010,11.8650
10.57,"","","",208.5985,-1.8073,207.6600,1.2112,37.0010,11.8320
10.60,"","","",208.5353,-1.7170,207.6889,1.3044,36.9990,11.8730
10.63,"","","",208.5488,-1.6266,207.7150,1.3044,37.0000,11.8680
10.67,"","","",208.5931,-1.7170,207.7159,1.3044,36.9990,11.9070
10.70,"","","",208.5940,-1.8073,207.7299,1.3044,36.9990,11.9470
10.73,"","","",208.5922,-1.8073,207.7541,1.3044,37.0000,11.9330
10.77,"","","",208.5696,-1.7170,207.7197,1.3975,37.0000,11.9400
10.80,"","","",208.5759,-1.4459,207.7029,1.3975,37.0000,11.9180
10.83,"","","",208.5976,-1.2651,207.6861,1.4907,37.0000,11.9100
10.87,"","","",208.6229,-1.2651,207.6451,1.5839,37.0010,11.8830
10.90,"","","",208.5859,-1.1748,207.6349,1.6770,37.0010,11.8460
10.93,"","","",208.5678,-0.9940,207.6656,1.6770,37.0000,11.8740
10.97,"","","",208.5515,-0.9940,207.7290,1.6770,37.0000,11.8970
11.00,"","","",208.5515,-0.8133,207.7523,1.4907,37.0010,11.8690
11.03,"","","",208.5470,-0.7229,207.7364,1.3975,37.0000,11.8670
11.07,"","","",208.5768,-0.6326,207.7159,1.3044,37.0010,11.8250
11.10,"","","",208.5615,-0.4518,207.6955,1.3044,37.0020,11.7910
11.13,"","","",208.5515,-0.1807,207.6517,1.3975,37.0000,11.7870
11.17,"","","",208.5795,-0.0904,207.6470,1.3975,37.0000,11.7980
11.20,"","","",208.5805,-0.0904,207.6368,1.4907,36.9990,11.8290
11.23,"","","",208.5407,0.0000,207.6302,1.6770,36.9990,11.8660
11.27,"","","",208.5344,0.0904,207.6563,1.7702,36.9990,11.8920
11.30,"","","",208.5217,0.1807,207.6405,1.7702,37.0000,11.8930
11.33,"","","",208.5217,0.2711,207.6163,1.7702,37.0000,11.8980
11.37,"","","",208.5100,0.5422,207.5967,1.7702,37.0010,11.8660
11.40,"","","",208.5091,0.7229,207.6200,1.7702,37.0000,11.8730
11.43,"","","",208.5036,0.9037,207.6116,1.7702,37.0000,11.9030
11.47,"","","",208.4982,1.1748,207.5948,1.7702,37.0000,11.9060
11.50,"","","",208.5271,1.2651,207.5510,1.8634,37.0010,11.8850
11.53,"","","",208.5678,1.2651,207.5361,2.0497,37.0010,11.8400
11.57,"","","",208.5633,1.2651,207.5361,2.2360,37.0000,11.8590
11.60,"","","",208.4937,1.2651,207.5753,2.3292,36.9990,11.9010
