"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [M]","1A: O2 slope neg. [pmol/(s*mL)]","1B: O2 concentration [M]","1B: O2 slope neg. [pmol/(s*mL)]","1: Block temp. [C]","1: Peltier power [%]"
1.03,"","","",192.4762,-53.8585,204.9740,-30.9317,37.0040,9.2850
1.07,"","","",192.6235,-58.9190,205.1948,-36.8013,37.0030,9.2760
1.10,"","","",192.7618,-63.5277,205.3849,-42.6709,37.0010,9.2640
1.13,"","","",192.8874,-67.7749,205.5563,-48.6336,37.0020,9.2330
1.17,"","","",193.0645,-58.0153,205.7259,-39.5032,37.0020,9.2000
1.20,"","","",193.2525,-61.9011,205.8936,-44.2547,37.0020,9.1670
1.23,"","","",193.4160,-65.6061,206.0753,-49.0995,37.0020,9.1330
1.27,"","","",193.5959,-69.1304,206.2038,-53.6647,37.0010,9.1180
1.30,"","","",193.7423,-72.3836,206.3650,-58.2299,37.0020,9.0800
1.33,"","","",193.8778,-63.8891,206.5383,-49.1926,37.0000,9.0800
1.37,"","","",194.0260,-66.8712,206.6948,-53.0125,37.0000,9.0580
1.40,"","","",194.1778,-69.6726,206.8309,-56.7392,36.9990,9.1080
1.43,"","","",194.3495,-72.3836,206.9725,-60.3728,36.9990,9.1240
1.47,"","","",194.4833,-74.7331,207.1197,-63.8200,36.9990,9.1530
1.50,"","","",194.5962,-76.9019,207.2455,-67.0809,36.9990,9.1830
1.53,"","","",194.7435,-78.8900,207.3815,-70.1554,37.0000,9.1680
1.57,"","","",194.8800,-80.5166,207.5175,-72.9505,37.0000,9.1600
1.60,"","","",195.0553,-81.9625,207.6293,-75.3728,37.0010,9.1240
1.63,"","","",195.1710,-83.1372,207.7551,-77.6089,37.0010,9.1030
1.67,"","","",195.2740,-83.8602,207.9023,-79.4722,37.0010,9.0700
1.70,"","","",195.4113,-84.1313,208.0215,-80.8697,37.0010,9.0560
1.73,"","","",195.5315,-84.0409,208.1613,-81.8946,37.0010,9.0240
1.77,"","","",195.6499,-83.4083,208.3085,-82.6399,37.0000,9.0210
1.80,"","","",195.7864,-82.5950,208.4343,-82.9194,37.0000,9.0430
1.83,"","","",195.9346,-81.6010,208.5498,-82.3604,37.0010,9.0170
1.87,"","","",196.0620,-80.5166,208.6746,-81.8014,37.0010,8.9900
1.90,"","","",196.1587,-79.4322,208.8051,-80.8697,36.9990,9.0520
1.93,"","","",196.2680,-78.2574,208.8973,-79.7517,36.9990,9.0650
1.97,"","","",196.3918,-77.0827,209.0082,-78.6337,37.0000,9.0680
2.00,"","","",196.5111,-75.8175,209.1209,-77.4225,37.0000,9.0610
2.03,"","","",196.6313,-74.6428,209.2104,-76.0250,37.0010,9.0120
2.07,"","","",196.7623,-73.5584,209.3464,-74.8138,37.0020,8.9690
2.10,"","","",196.8897,-72.6547,209.4423,-73.5095,37.0020,8.9440
2.13,"","","",196.9855,-71.6607,209.5532,-72.2983,37.0010,8.9320
2.17,"","","",197.0488,-70.5763,209.6734,-71.0871,37.0000,8.9380
2.20,"","","",197.1328,-69.4919,209.7740,-69.8759,37.0010,8.8930
2.23,"","","",197.2431,-68.4075,209.8486,-68.6647,37.0010,8.8730
2.27,"","","",197.3506,-67.4134,209.9408,-67.5467,37.0010,8.8390
2.30,"","","",197.4608,-66.4194,210.0265,-66.2424,37.0020,8.7880
2.33,"","","",197.5603,-65.5157,210.1169,-65.0312,37.0020,8.7660
2.37,"","","",197.6624,-64.7024,210.2259,-63.8200,37.0000,8.7500
2.40,"","","",197.7545,-63.7988,210.2976,-62.7020,37.0010,8.7180
2.43,"","","",197.8738,-62.8951,210.3563,-61.5840,37.0000,8.7480
2.47,"","","",197.9660,-61.9011,210.4737,-60.5591,37.0000,8.7390
2.50,"","","",198.0410,-60.9974,210.5771,-59.6274,37.0000,8.7060
2.53,"","","",198.1006,-60.0938,210.6722,-58.6958,37.0010,8.6820
2.57,"","","",198.1847,-59.0997,210.7309,-57.7641,37.0000,8.6970
2.60,"","","",198.2796,-58.2864,210.8417,-56.8324,37.0000,8.7090
2.63,"","","",198.3844,-57.4731,210.9014,-55.9007,37.0010,8.6910
2.67,"","","",198.4874,-56.6598,210.9703,-54.9691,37.0000,8.7290
2.70,"","","",198.5850,-55.8465,211.0346,-54.0374,37.0010,8.6900
2.73,"","","",198.6889,-55.1236,211.0868,-53.1057,37.0010,8.6720
2.77,"","","",198.7477,-54.4007,211.2079,-52.2672,37.0000,8.6890
2.80,"","","",198.7910,-53.5874,211.3010,-51.4287,37.0010,8.6560
2.83,"","","",198.8796,-52.7741,211.3504,-50.5902,37.0010,8.6180
2.87,"","","",198.9456,-51.9608,211.4063,-49.7517,37.0000,8.6030
2.90,"","","",199.0549,-51.2378,211.4548,-48.8200,36.9990,8.6420
2.93,"","","",199.1082,-50.5149,211.5237,-47.8883,37.0000,8.6240
2.97,"","","",199.1715,-49.7920,211.5955,-46.9566,37.0020,8.5640
3.00,"","","",199.2474,-49.0690,211.6868,-46.1181,37.0000,8.5810
3.03,"","","",199.3107,-48.2557,211.7371,-45.2796,37.0000,8.5950
3.07,"","","",199.3459,-47.4424,211.7734,-44.3479,37.0010,8.5520
3.10,"","","",199.4354,-46.6291,211.8060,-43.5094,36.9990,8.5920
3.13,"","","",199.5122,-45.8158,211.8787,-42.6709,37.0000,8.6200
3.17,"","","",199.5330,-45.0929,211.9812,-41.9256,37.0010,8.5780
3.20,"","","",199.5989,-44.2796,212.0548,-41.1802,37.0010,8.5600
3.23,"","","",199.6848,-43.5567,212.0846,-40.5280,37.0020,8.5160
3.27,"","","",199.7553,-42.8337,212.1358,-39.7827,37.0020,8.4910
3.30,"","","",199.8402,-42.1108,212.1675,-38.9442,37.0020,8.4410
3.33,"","","",199.9143,-41.4782,212.2253,-38.1988,37.0010,8.4480
3.37,"","","",199.9541,-40.8457,212.3110,-37.5467,37.0000,8.4780
3.40,"","","",200.0164,-40.3035,212.3511,-36.8013,37.0000,8.4570
3.43,"","","",200.0779,-39.7613,212.3753,-36.1491,37.0010,8.4160
3.47,"","","",200.1384,-39.2191,212.4340,-35.4038,37.0010,8.4020
3.50,"","","",200.1827,-38.4961,212.5076,-34.8448,37.0000,8.3750
3.53,"","","",200.2107,-37.8636,212.5877,-34.3790,36.9990,8.4030
3.57,"","","",200.2613,-37.1407,212.6538,-33.8199,37.0000,8.3870
3.60,"","","",200.3399,-36.5081,212.6827,-33.3541,37.0000,8.3980
3.63,"","","",200.3932,-35.8755,212.6976,-32.7019,37.0000,8.3850
3.67,"","","",200.4475,-35.2430,212.7330,-32.1429,37.0010,8.3310
3.70,"","","",200.5179,-34.7008,212.7806,-31.4907,37.0030,8.2690
3.73,"","","",200.5631,-34.1586,212.8048,-30.9317,37.0010,8.2960
3.77,"","","",200.5704,-33.6164,212.8523,-30.2796,36.9990,8.3580
3.80,"","","",200.5821,-32.9838,212.9082,-29.7206,36.9980,8.3770
3.83,"","","",200.6643,-32.4416,212.9464,-29.1615,37.0000,8.3960
3.87,"","","",200.7339,-31.8994,212.9976,-28.6957,37.0010,8.3630
3.90,"","","",200.8243,-31.3572,213.0461,-28.2299,37.0010,8.3330
3.93,"","","",200.8839,-30.9054,213.0675,-27.7640,37.0010,8.3160
3.97,"","","",200.8812,-30.4535,213.0936,-27.2982,37.0010,8.2800
4.00,"","","",200.8984,-29.9113,213.1038,-26.7392,37.0030,8.2020
4.03,"","","",200.9653,-29.4595,213.1765,-26.1802,37.0040,8.1750
4.07,"","","",201.0394,-29.1884,213.2445,-25.7143,37.0000,8.2060
4.10,"","","",201.0945,-28.9173,213.3032,-25.4348,37.0000,8.2190
4.13,"","","",201.0864,-28.3751,213.3377,-25.1553,36.9990,8.2620
4.17,"","","",201.1017,-27.9233,213.3405,-24.7827,37.0000,8.2420
4.20,"","","",201.1261,-27.3811,213.3461,-24.3168,37.0020,8.2050
4.23,"","","",201.1731,-27.0196,213.3740,-23.8510,36.9990,8.2580
4.27,"","","",201.2246,-26.5678,213.4029,-23.2920,36.9980,8.2820
4.30,"","","",201.3050,-26.2063,213.4290,-22.8261,37.0000,8.2940
4.33,"","","",201.3656,-25.8448,213.4877,-22.5466,37.0020,8.2390
4.37,"","","",201.3791,-25.4834,213.5110,-22.0808,37.0020,8.2110
4.40,"","","",201.3954,-25.0315,213.5604,-21.7081,37.0020,8.1780
4.43,"","","",201.3954,-24.5797,213.5613,-21.2423,37.0020,8.1470
4.47,"","","",201.4306,-24.1279,213.5706,-20.6833,37.0030,8.1090
4.50,"","","",201.4813,-23.6760,213.6042,-20.3106,37.0020,8.0860
4.53,"","","",201.5219,-23.2242,213.6396,-19.9379,37.0010,8.0770
4.57,"","","",201.5499,-22.7724,213.6414,-19.4721,37.0000,8.0480
4.60,"","","",201.5626,-22.3205,213.6815,-19.0994,37.0000,8.0660
4.63,"","","",201.5816,-21.8687,213.7150,-18.6336,36.9980,8.1180
4.67,"","","",201.6150,-21.5072,213.7514,-18.2609,36.9990,8.1210
4.70,"","","",201.6439,-21.0554,213.7775,-17.8882,37.0000,8.1270
4.73,"","","",201.6466,-20.6036,213.8101,-17.6087,37.0000,8.1540
4.77,"","","",201.6828,-20.2421,213.8082,-17.1429,37.0020,8.1040
4.80,"","","",201.7370,-19.8806,213.8361,-16.7702,37.0010,8.0730
4.83,"","","",201.7813,-19.5192,213.8660,-16.3975,37.0020,8.0350
4.87,"","","",201.8445,-19.2481,213.8743,-16.1180,37.0000,8.0190
4.90,"","","",201.8481,-18.8866,213.8688,-15.8385,37.0000,8.0430
4.93,"","","",201.8355,-18.4348,213.9321,-15.5590,36.9990,8.0760
4.97,"","","",201.8653,-18.0733,213.9396,-15.2795,37.0000,8.1000
5.00,"","","",201.9132,-17.8022,213.9535,-14.9069,37.0020,8.0410
5.03,"","","",201.9548,-17.5311,213.9964,-14.6274,37.0020,8.0010
5.07,"","","",201.9783,-17.2600,214.0206,-14.3479,37.0020,7.9840
5.10,"","","",202.0216,-16.9889,214.0402,-14.0684,37.0010,7.9760
5.13,"","","",202.0343,-16.6274,214.0840,-13.8820,37.0000,7.9830
5.17,"","","",202.0189,-16.2660,214.0793,-13.6025,37.0000,7.9860
5.20,"","","",202.0713,-15.9949,214.0625,-13.2298,36.9990,8.0480
5.23,"","","",202.0831,-15.7238,214.1035,-13.0435,36.9980,8.0610
5.27,"","","",202.0741,-15.5430,214.1129,-12.7640,37.0000,8.0750
5.30,"","","",202.0967,-15.1816,214.1268,-12.4845,37.0000,8.1010
5.33,"","","",202.0858,-14.8201,214.1455,-12.1118,37.0000,8.1100
5.37,"","","",202.1256,-14.4586,214.1501,-11.8323,37.0010,8.0710
5.40,"","","",202.1635,-14.2779,214.1669,-11.6460,37.0000,8.0820
5.43,"","","",202.2286,-14.1875,214.1874,-11.4597,37.0010,8.0450
5.47,"","","",202.2548,-14.0068,214.1930,-11.2733,37.0010,8.0090
5.50,"","","",202.2927,-13.8261,214.1976,-11.0870,37.0000,8.0320
5.53,"","","",202.2765,-13.5550,214.1660,-10.7143,37.0010,8.0010
5.57,"","","",202.2882,-13.2839,214.2125,-10.4348,37.0000,7.9820
5.60,"","","",202.3199,-13.1031,214.2778,-10.2485,37.0000,7.9900
5.63,"","","",202.3596,-13.0128,214.2712,-9.9690,36.9990,8.0240
5.67,"","","",202.4048,-13.0128,214.2722,-9.7826,37.0000,8.0340
5.70,"","","",202.4138,-12.9224,214.2861,-9.5963,37.0000,8.0330
5.73,"","","",202.4184,-12.8320,214.2964,-9.4100,37.0010,8.0130
5.77,"","","",202.4220,-12.6513,214.3374,-9.2236,37.0000,7.9760
5.80,"","","",202.3994,-12.3802,214.3504,-9.0373,37.0000,7.9980
5.83,"","","",202.3849,-12.1091,214.3635,-8.9441,36.9990,8.0290
5.87,"","","",202.3894,-11.8380,214.3588,-8.7578,37.0000,8.0060
5.90,"","","",202.4156,-11.5669,214.3812,-8.4783,37.0010,7.9740
5.93,"","","",202.4428,-11.2958,214.3979,-8.2919,37.0000,7.9850
5.97,"","","",202.4897,-11.0247,214.3821,-8.1056,37.0000,8.0080
6.00,"","","",202.5069,-10.8440,214.3821,-7.9193,36.9990,8.0530
6.03,"","","",202.5458,-10.6633,214.4371,-7.8261,37.0000,8.0350
6.07,"","","",202.5340,-10.3922,214.4408,-7.7329,37.0020,7.9940
6.10,"","","",202.5494,-10.1211,214.4613,-7.6398,37.0010,7.9740
6.13,"","","",202.5837,-9.9403,214.4688,-7.4534,37.0000,7.9830
6.17,"","","",202.5647,-9.7596,214.4688,-7.3603,36.9990,8.0230
6.20,"","","",202.5693,-9.5789,214.4632,-7.1739,37.0010,7.9900
6.23,"","","",202.5855,-9.3981,214.4697,-6.9876,37.0010,7.9470
6.27,"","","",202.5946,-9.1270,214.4734,-6.8013,37.0010,7.9220
6.30,"","","",202.6334,-8.9463,214.4818,-6.7081,37.0020,7.8790
6.33,"","","",202.6370,-8.7656,214.5014,-6.5218,37.0010,7.8590
6.37,"","","",202.6560,-8.6752,214.5219,-6.4286,37.0010,7.8240
6.40,"","","",202.6904,-8.5848,214.5424,-6.3354,36.9990,7.8590
6.43,"","","",202.7274,-8.5848,214.5498,-6.3354,36.9990,7.8970
6.47,"","","",202.7265,-8.4945,214.5396,-6.2422,37.0000,7.9010
6.50,"","","",202.7401,-8.4041,214.5657,-6.2422,37.0010,7.8610
6.53,"","","",202.7491,-8.3137,214.5703,-6.1491,37.0000,7.8500
6.57,"","","",202.7617,-8.2234,214.5461,-5.9627,36.9980,7.9140
6.60,"","","",202.7717,-8.1330,214.5256,-5.7764,36.9980,7.9310
6.63,"","","",202.8151,-8.0426,214.5340,-5.6832,36.9990,7.9570
6.67,"","","",202.8151,-7.8619,214.5517,-5.4969,36.9990,7.9900
6.70,"","","",202.7744,-7.5908,214.5657,-5.3106,37.0010,7.9560
6.73,"","","",202.7934,-7.4101,214.5889,-5.2174,37.0010,7.9150
6.77,"","","",202.7690,-7.2293,214.6066,-5.1242,37.0010,7.8760
6.80,"","","",202.7383,-7.0486,214.6141,-5.0311,37.0020,7.8380
6.83,"","","",202.7925,-6.9582,214.5796,-4.8447,37.0010,7.8310
6.87,"","","",202.8612,-6.8679,214.5936,-4.5652,37.0010,7.7920
6.90,"","","",202.8666,-6.7775,214.5955,-4.3789,37.0000,7.7980
6.93,"","","",202.8630,-6.6871,214.6104,-4.2857,37.0000,7.8000
6.97,"","","",202.8657,-6.6871,214.6057,-4.0994,37.0000,7.8080
7.00,"","","",202.8503,-6.5968,214.6057,-3.9131,36.9990,7.8530
7.03,"","","",202.8187,-6.5064,214.5815,-3.7267,37.0000,7.8500
7.07,"","","",202.8196,-6.3257,214.5694,-3.4472,37.0000,7.8300
7.10,"","","",202.8467,-6.2353,214.5563,-3.2609,37.0000,7.8710
7.13,"","","",202.8630,-6.0546,214.5638,-2.9814,36.9990,7.8960
7.17,"","","",202.8458,-5.7835,214.5815,-2.8882,37.0010,7.8570
7.20,"","","",202.8684,-5.5124,214.5778,-2.6087,37.0010,7.8280
7.23,"","","",202.9063,-5.3316,214.5889,-2.5155,37.0010,7.7900
7.27,"","","",202.8892,-5.0605,214.6262,-2.4224,37.0010,7.7540
7.30,"","","",202.9000,-4.8798,214.6206,-2.2360,37.0010,7.7270
7.33,"","","",202.8774,-4.6991,214.6243,-2.0497,36.9990,7.7620
7.37,"","","",202.9136,-4.6087,214.6514,-2.0497,37.0000,7.7730
7.40,"","","",202.9118,-4.4280,214.6197,-1.9565,37.0000,7.7910
7.43,"","","",202.8846,-4.2472,214.6234,-1.8634,36.9980,7.8400
7.47,"","","",202.8801,-4.0665,214.6523,-1.8634,36.9990,7.8640
7.50,"","","",202.9063,-3.7954,214.6802,-1.8634,37.0000,7.8820
7.53,"","","",202.8801,-3.5243,214.6458,-1.7702,37.0000,7.8830
7.57,"","","",202.8440,-3.2532,214.6104,-1.6770,37.0010,7.8420
7.60,"","","",202.8801,-2.9821,214.5917,-1.4907,37.0010,7.8290
7.63,"","","",202.9244,-2.8014,214.6262,-1.3975,37.0010,7.7910
7.67,"","","",202.9488,-2.6206,214.6598,-1.3044,37.0000,7.7740
7.70,"","","",202.9325,-2.5303,214.6532,-1.3044,37.0010,7.7500
7.73,"","","",202.9307,-2.4399,214.6225,-1.2112,37.0020,7.7040
7.77,"","","",202.9416,-2.3495,214.6122,-1.2112,37.0010,7.7050
7.80,"","","",202.9714,-2.3495,214.6048,-1.1180,37.0010,7.6850
7.83,"","","",202.9443,-2.2592,214.6467,-1.1180,37.0010,7.6450
7.87,"","","",202.9181,-2.1688,214.6868,-1.2112,37.0010,7.6090
7.90,"","","",202.9416,-2.0784,214.6476,-1.1180,37.0000,7.6030
7.93,"","","",202.9615,-2.0784,214.6318,-1.0248,36.9990,7.6440
7.97,"","","",203.0066,-2.2592,214.6476,-0.9317,36.9970,7.6810
8.00,"","","",203.0193,-2.3495,214.6216,-0.8385,36.9970,7.7180
8.03,"","","",203.0229,-2.4399,214.6281,-0.8385,36.9960,7.7550
8.07,"","","",203.0112,-2.4399,214.6188,-0.7453,36.9970,7.7840
8.10,"","","",203.0130,-2.4399,214.6234,-0.7453,36.9970,7.8110
8.13,"","","",202.9859,-2.2592,214.6253,-0.7453,36.9990,7.8210
8.17,"","","",202.9985,-2.1688,214.6234,-0.6522,36.9990,7.8640
8.20,"","","",203.0157,-2.2592,214.6076,-0.6522,37.0000,7.8720
8.23,"","","",202.9831,-2.3495,214.6234,-0.5590,37.0010,7.8350
8.27,"","","",203.0030,-2.3495,214.6495,-0.6522,37.0010,7.8060
8.30,"","","",203.0094,-2.4399,214.6458,-0.6522,37.0010,7.7790
8.33,"","","",203.0057,-2.4399,214.6402,-0.6522,37.0010,7.7660
8.37,"","","",203.0157,-2.3495,214.6383,-0.5590,37.0010,7.7170
8.40,"","","",203.0609,-2.3495,214.6560,-0.5590,36.9990,7.7540
8.43,"","","",203.0835,-2.4399,214.6523,-0.4658,36.9990,7.7710
8.47,"","","",203.0654,-2.4399,214.6560,-0.3727,36.9990,7.8230
8.50,"","","",203.0636,-2.4399,214.6598,-0.3727,36.9990,7.8400
8.53,"","","",203.0437,-2.4399,214.6420,-0.2795,37.0010,7.8120
8.57,"","","",203.0356,-2.4399,214.6393,-0.1863,37.0000,7.8290
8.60,"","","",202.9958,-2.3495,214.6290,-0.0932,37.0000,7.8150
8.63,"","","",202.9777,-2.2592,214.6318,-0.0932,37.0010,7.7910
8.67,"","","",202.9786,-2.0784,214.6560,-0.0932,37.0020,7.7390
8.70,"","","",202.9985,-2.0784,214.6430,-0.1863,37.0000,7.7360
8.73,"","","",203.0066,-1.9881,214.6467,-0.0932,37.0010,7.6990
8.77,"","","",202.9859,-1.8073,214.6644,-0.1863,37.0010,7.6740
8.80,"","","",203.0112,-1.7170,214.6719,-0.2795,37.0000,7.6990
8.83,"","","",203.0482,-1.6266,214.6542,-0.3727,36.9990,7.7310
8.87,"","","",203.0473,-1.5362,214.6504,-0.3727,37.0010,7.6820
8.90,"","","",203.0500,-1.3555,214.6309,-0.2795,37.0020,7.6430
8.93,"","","",203.0410,-1.2651,214.5927,-0.0932,37.0010,7.6340
8.97,"","","",203.0121,-1.0844,214.6066,-0.0932,37.0000,7.6450
9.00,"","","",203.0121,-1.0844,214.6011,0.0000,36.9990,7.6780
9.03,"","","",203.0464,-0.9940,214.5824,0.0000,37.0000,7.6640
9.07,"","","",203.0319,-0.9037,214.5917,0.1863,36.9990,7.7000
9.10,"","","",203.0148,-0.7229,214.5964,0.2795,37.0000,7.7200
9.13,"","","",203.0057,-0.7229,214.5657,0.4658,36.9990,7.7690
9.17,"","","",202.9831,-0.5422,214.5470,0.5590,37.0000,7.7400
9.20,"","","",202.9877,-0.2711,214.5610,0.5590,37.0020,7.7060
9.23,"","","",203.0103,-0.0904,214.5712,0.6522,37.0010,7.6910
9.27,"","","",203.0003,0.0000,214.5526,0.7453,37.0010,7.6540
9.30,"","","",202.9813,0.0904,214.5619,0.8385,37.0000,7.6340
9.33,"","","",202.9587,0.1807,214.5880,0.9317,36.9990,7.6610
9.37,"","","",202.9578,0.2711,214.5703,1.0248,36.9990,7.6930
9.40,"","","",202.9443,0.4518,214.5806,1.0248,37.0000,7.7190
9.43,"","","",202.9651,0.5422,214.5601,1.1180,37.0010,7.6690
9.47,"","","",202.9886,0.6326,214.5535,1.2112,37.0000,7.6980
9.50,"","","",202.9841,0.6326,214.5629,1.3044,36.9990,7.7290
9.53,"","","",202.9841,0.7229,214.5302,1.4907,36.9990,7.7550
9.57,"","","",203.0148,0.7229,214.5405,1.5839,37.0010,7.7210
9.60,"","","",203.0428,0.7229,214.5526,1.5839,37.0030,7.6410
9.63,"","","",203.0464,0.6326,214.5470,1.6770,37.0020,7.6360
9.67,"","","",203.0274,0.6326,214.5461,1.6770,37.0020,7.6050
9.70,"","","",203.0121,0.6326,214.5629,1.6770,37.0020,7.5660
9.73,"","","",202.9886,0.5422,214.5414,1.6770,37.0020,7.5560
9.77,"","","",202.9533,0.5422,214.5554,1.6770,36.9990,7.5890
9.80,"","","",202.9868,0.4518,214.5293,1.6770,36.9990,7.6390
9.83,"","","",203.0184,0.3615,214.5079,1.6770,37.0000,7.6380
9.87,"","","",202.9940,0.2711,214.4995,1.7702,37.0000,7.6770
9.90,"","","",203.0193,0.1807,214.5051,1.7702,36.9990,7.7050
9.93,"","","",202.9922,0.1807,214.4948,1.8634,37.0000,7.6780
9.97,"","","",202.9651,0.3615,214.4976,1.8634,37.0010,7.6420
10.00,"","","",203.0021,0.3615,214.5088,1.8634,37.0000,7.6510
10.03,"","","",202.9868,0.4518,214.5070,1.8634,37.0020,7.6020
10.07,"","","",202.9533,0.4518,214.5200,1.7702,37.0030,7.5510
10.10,"","","",202.9696,0.5422,214.5098,1.6770,37.0010,7.5450
10.13,"","","",202.9479,0.6326,214.5051,1.5839,37.0010,7.5200
10.17,"","","",202.9090,0.7229,214.5004,1.4907,37.0010,7.4810
10.20,"","","",202.9163,0.8133,214.4716,1.3975,37.0010,7.4550
10.23,"","","",202.9145,0.8133,214.4837,1.3975,36.9980,7.5150
10.27,"","","",202.8964,0.9037,214.4771,1.3975,36.9970,7.5550
10.30,"","","",202.9054,0.9940,214.4716,1.3975,36.9970,7.5910
10.33,"","","",202.9217,0.9940,214.4445,1.4907,36.9970,7.6150
10.37,"","","",202.9253,0.9940,214.4417,1.5839,36.9980,7.6120
10.40,"","","",202.9099,0.9940,214.4632,1.5839,36.9990,7.6610
10.43,"","","",202.9109,1.0844,214.4622,1.5839,37.0000,7.6600
10.47,"","","",202.9416,1.0844,214.4352,1.5839,36.9990,7.6930
10.50,"","","",202.9353,1.0844,214.4296,1.7702,37.0000,7.7000
10.53,"","","",202.9118,1.1748,214.4511,1.7702,37.0000,7.6850
10.57,"","","",202.9072,1.1748,214.4753,1.7702,37.0010,7.6580
10.60,"","","",202.9000,1.2651,214.4408,1.7702,37.0010,7.6140
10.63,"","","",202.9271,1.2651,214.4352,1.8634,37.0010,7.5810
10.67,"","","",202.9587,1.2651,214.4315,1.7702,37.0010,7.5570
10.70,"","","",202.9606,1.2651,214.4539,1.7702,37.0000,7.5710
10.73,"","","",202.9199,1.3555,214.4743,1.6770,36.9990,7.6080
10.77,"","","",202.8584,1.5362,214.4483,1.5839,36.9980,7.6290
10.80,"","","",202.8684,1.7170,214.3905,1.6770,36.9980,7.6600
10.83,"","","",202.9063,1.7170,214.3719,1.7702,36.9980,7.7060
10.87,"","","",202.9217,1.7170,214.3486,1.9565,37.0010,7.6610
10.90,"","","",202.9063,1.6266,214.3663,2.0497,37.0000,7.6510
10.93,"","","",202.8865,1.6266,214.3812,2.0497,37.0000,7.6340
10.97,"","","",202.9081,1.4459,214.3979,2.0497,37.0000,7.6280
11.00,"","","",202.9063,1.3555,214.3737,2.0497,37.0000,7.6470
11.03,"","","",202.8738,1.3555,214.3458,2.1429,37.0000,7.6430
11.07,"","","",202.8792,1.3555,214.3570,2.1429,37.0020,7.5930
11.10,"","","",202.8621,1.4459,214.3672,2.1429,37.0000,7.5820
11.13,"","","",202.8693,1.4459,214.3560,2.1429,37.0010,7.5550
11.17,"","","",202.8856,1.3555,214.3560,2.1429,37.0000,7.5780
11.20,"","","",202.8377,1.3555,214.3756,2.1429,37.0000,7.5990
11.23,"","","",202.8105,1.3555,214.3635,2.1429,37.0000,7.6110
11.27,"","","",202.8304,1.3555,214.3327,2.2360,37.0000,7.6280
11.30,"","","",202.8693,1.3555,214.3141,2.3292,37.0010,7.6120
11.33,"","","",202.8313,1.2651,214.3169,2.3292,37.0010,7.5840
11.37,"","","",202.8015,1.2651,214.3150,2.4224,37.0010,7.5530
11.40,"","","",202.8024,1.3555,214.3243,2.3292,36.9990,7.5860
11.43,"","","",202.8331,1.3555,214.3439,2.3292,36.9990,7.6150
11.47,"","","",202.8720,1.2651,214.3365,2.2360,37.0010,7.5810
11.50,"","","",202.8566,1.2651,214.3048,2.2360,37.0020,7.5470
11.53,"","","",202.8377,1.3555,214.2619,2.3292,37.0000,7.5630
11.57,"","","",202.8151,1.4459,214.2610,2.4224,37.0000,7.5500
11.60,"","","",202.8024,1.5362,214.2964,2.4224,36.9990,7.6040
11.63,"","","",202.8105,1.6266,214.2927,2.4224,36.9970,7.6250
