"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [M]","1A: O2 slope neg. [pmol/(s*mL)]","1B: O2 concentration [M]","1B: O2 slope neg. [pmol/(s*mL)]","1: Block temp. [C]","1: Peltier power [%]"
1.40,"","","",190.2424,-231.0673,187.5218,-593.1068,37.0000,12.2370
1.43,"","","",190.2433,-229.8925,187.7258,-590.7776,37.0010,12.2020
1.47,"","","",190.2505,-228.1755,187.8144,-584.2558,37.0000,12.1790
1.50,"","","",190.2650,-225.8260,187.8880,-575.8707,37.0000,12.1810
1.53,"","","",190.2613,-223.0246,187.9196,-566.5539,36.9990,12.2200
1.57,"","","",190.2577,-219.5907,187.9243,-556.4918,37.0000,12.1920
1.60,"","","",190.2505,-215.5242,187.9597,-546.0570,37.0000,12.1800
1.63,"","","",190.2460,-210.9155,187.9811,-534.5974,37.0000,12.1850
1.67,"","","",190.2460,-205.5839,188.0380,-522.7650,37.0000,12.1880
1.70,"","","",190.2089,-199.6197,188.0752,-510.3737,37.0000,12.1800
1.73,"","","",190.1809,-193.2037,188.1349,-497.6097,37.0010,12.1390
1.77,"","","",190.1936,-186.1551,188.1423,-484.2867,36.9990,12.1770
1.80,"","","",190.2505,-178.7450,188.1470,-470.4047,37.0000,12.1990
1.83,"","","",190.2604,-170.7024,188.1581,-455.8705,37.0000,12.2170
1.87,"","","",190.2071,-162.1176,188.1283,-440.7773,36.9990,12.2470
1.90,"","","",190.2116,-153.0809,188.1395,-425.1251,36.9990,12.2730
1.93,"","","",190.2225,-143.5021,174.7932,-384.5971,37.0000,12.2970
1.97,"","","",190.2966,-133.4714,164.4982,-325.9944,36.9990,12.3270
2.00,"","","",189.9098,-122.2659,168.4867,-276.3360,37.0010,12.3010
2.03,"","","",171.6178,-77.0827,172.1295,-234.6899,36.9980,12.3650
2.07,"","","",168.4848,-27.4714,174.8454,-198.9134,36.9950,12.4610
2.10,"","","",172.4492,13.3742,176.6342,-167.1432,36.9880,12.7490
2.13,"","","",175.4358,47.6232,179.2969,-140.8699,36.9840,13.0630
2.17,"","","",177.0254,78.9804,183.4858,-122.6089,36.9810,13.5070
2.20,"","","",178.6456,108.2591,185.5709,-108.0748,36.9810,13.9010
2.23,"","","",183.5742,127.5072,184.9383,-92.3294,36.9810,14.2890
2.27,"","","",186.2979,137.7186,183.3768,-73.6026,36.9830,14.6200
2.30,"","","",185.5749,144.1346,182.2615,-52.9194,36.9870,14.7990
2.33,"","","",184.5701,147.9300,181.6420,-31.2112,36.9920,14.9080
2.37,"","","",184.1119,150.0085,181.3895,-9.2236,36.9940,14.9110
2.40,"","","",183.9140,150.6410,181.3997,12.4845,36.9960,14.9110
2.43,"","","",183.9257,150.3699,181.4594,33.9131,36.9970,14.9360
2.47,"","","",184.0152,149.1048,181.5628,56.2734,36.9970,14.9690
2.50,"","","",184.1399,146.9360,181.6858,79.8449,36.9970,14.9970
2.53,"","","",184.3071,143.8635,181.7799,98.7580,37.0000,14.9840
2.57,"","","",184.4580,139.7970,181.8824,108.1679,37.0010,14.9490
2.60,"","","",183.6935,136.5439,182.0072,110.3108,37.0020,14.9220
2.63,"","","",169.7508,158.2318,182.1022,108.2611,37.0020,14.8830
2.67,"","","",169.6234,178.2028,182.2327,103.6027,37.0020,14.8560
2.70,"","","",175.4204,185.6129,182.3883,97.0809,37.0010,14.8290
2.73,"","","",179.6505,183.9863,182.5224,89.1617,37.0010,14.8030
2.77,"","","",182.4392,176.2148,182.6184,80.3107,37.0000,14.8050
2.80,"","","",184.2041,164.4671,182.7032,70.6213,36.9980,14.8750
2.83,"","","",185.3436,150.0085,182.5560,60.5591,36.9960,14.9390
2.87,"","","",186.2671,133.4714,169.0680,74.6275,36.9970,14.9500
2.90,"","","",186.9458,115.2173,167.5103,89.7207,36.9960,14.9830
2.93,"","","",187.3633,95.9693,174.1420,90.7455,36.9970,15.0280
2.97,"","","",187.5097,76.2694,179.2457,81.0561,36.9970,15.0480
3.00,"","","",187.5531,56.1176,182.6398,64.2858,36.9940,15.1440
3.03,"","","",187.5856,35.7852,184.8824,42.7641,36.9930,15.1830
3.07,"","","",187.5784,15.2719,186.4336,18.0746,36.9920,15.2190
3.10,"","","",187.5531,-5.5124,187.5591,-8.9441,36.9900,15.4160
3.13,"","","",187.5205,-26.5678,188.4134,-37.4535,36.9910,15.6290
3.17,"","","",187.4817,-47.8039,189.0432,-67.2672,36.9930,15.6890
3.20,"","","",187.4663,-69.2208,189.5286,-97.7331,36.9950,15.6990
3.23,"","","",187.3904,-90.7280,189.9097,-128.7580,36.9980,15.6800
3.27,"","","",187.3353,-112.4160,190.1929,-134.5344,36.9970,15.7410
3.30,"","","",187.2630,-134.3751,190.4678,-119.5344,36.9980,15.7630
3.33,"","","",187.1636,-155.7016,190.6849,-110.2176,36.9990,15.7750
3.37,"","","",187.0389,-141.8755,190.8609,-106.1182,36.9990,15.8040
3.40,"","","",186.9847,-120.5490,190.9932,-105.7456,37.0010,15.7520
3.43,"","","",186.8925,-104.9156,191.0892,-107.4226,37.0020,15.7180
3.47,"","","",186.8572,-93.5294,191.1712,-113.0127,37.0020,15.6980
3.50,"","","",186.8184,-84.1313,191.2504,-125.7767,37.0020,15.6550
3.53,"","","",186.7560,-76.8116,191.2951,-141.8015,37.0030,15.6150
3.57,"","","",186.6919,-78.0767,191.3361,-156.2426,37.0030,15.5780
3.60,"","","",186.6376,-84.1313,191.3706,-167.0500,37.0040,15.5360
3.63,"","","",186.5563,-88.6496,191.4013,-175.0625,37.0030,15.5340
3.67,"","","",186.4506,-90.9991,191.4302,-181.1184,37.0030,15.4860
3.70,"","","",186.3702,-92.0835,191.4563,-185.7768,37.0050,15.4310
3.73,"","","",186.2780,-92.4450,191.4647,-189.5035,37.0060,15.3930
3.77,"","","",186.0566,-92.1739,191.4870,-192.4849,37.0050,15.3700
3.80,"","","",185.6472,-91.1798,191.4991,-194.7209,37.0050,15.3210
3.83,"","","",185.5659,-90.0954,191.5038,-196.3047,37.0070,15.2730
3.87,"","","",185.5858,-89.1918,191.5113,-197.0501,37.0070,15.2480
3.90,"","","",185.7530,-88.8303,191.5150,-197.2364,37.0080,15.1060
3.93,"","","",185.9798,-87.2941,191.5606,-196.7706,37.0080,15.0620
3.97,"","","",186.2699,-59.1901,191.2560,-195.0004,37.0080,14.9700
4.00,"","","",186.5590,-29.8210,191.1218,-192.3917,37.0090,14.7550
4.03,"","","",186.8283,-10.5729,190.9420,-188.9445,37.0070,14.7050
4.07,"","","",187.1148,1.0844,190.9401,-185.0314,37.0050,14.6950
4.10,"","","",187.3850,7.6812,191.0501,-180.5594,37.0050,14.6630
4.13,"","","",187.7031,10.6633,191.2457,-175.9010,37.0020,14.6890
4.17,"","","",188.0591,11.2055,191.4721,-170.5904,37.0020,14.6170
4.20,"","","",188.3320,9.6692,191.7227,-138.9133,37.0020,14.6060
4.23,"","","",188.5878,6.5968,191.9911,-102.6710,37.0010,14.5990
4.27,"","","",188.8869,2.2592,192.2706,-77.3293,37.0000,14.5940
4.30,"","","",189.1778,-2.7110,192.5389,-60.5591,37.0010,14.5590
4.33,"","","",189.4526,-8.0426,192.8631,-49.7517,37.0000,14.5530
4.37,"","","",189.7191,-13.8261,193.1976,-42.8572,37.0000,14.5810
4.40,"","","",190.0101,-19.8806,193.5209,-38.8510,37.0010,14.5380
4.43,"","","",190.2912,-26.2063,193.8470,-36.8013,37.0000,14.5350
4.47,"","","",190.5921,-32.8031,194.1274,-36.4286,36.9990,14.5640
4.50,"","","",190.8867,-39.4902,194.4544,-37.2672,37.0000,14.5940
4.53,"","","",191.1496,-46.3580,194.7731,-39.1305,37.0000,14.5770
4.57,"","","",191.4289,-53.2259,195.0917,-41.8324,37.0030,14.5060
4.60,"","","",191.7262,-60.1841,195.3852,-45.0933,37.0010,14.5160
4.63,"","","",191.9973,-67.0520,195.6759,-48.9131,37.0020,14.4490
4.67,"","","",192.2774,-73.8295,195.9638,-53.2920,37.0020,14.4410
4.70,"","","",192.5530,-80.3359,196.2293,-57.9504,37.0000,14.4130
4.73,"","","",192.8097,-86.7519,196.4855,-62.7952,37.0000,14.4090
4.77,"","","",193.0672,-92.8968,196.7538,-67.8262,37.0010,14.3900
4.80,"","","",193.3175,-98.7706,197.0566,-72.9505,37.0010,14.3450
4.83,"","","",193.5552,-104.5541,197.3464,-78.3542,37.0010,14.3110
4.87,"","","",193.7974,-109.8857,197.6091,-83.6648,37.0020,14.2550
4.90,"","","",194.0576,-114.9462,197.8579,-88.8822,37.0020,14.2230
4.93,"","","",194.3215,-119.7357,198.0992,-94.0996,37.0020,14.2150
4.97,"","","",194.5465,-124.0733,198.3749,-99.1306,37.0010,14.1960
5.00,"","","",194.7670,-127.7783,198.6628,-104.1617,37.0010,14.1520
5.03,"","","",195.0047,-131.1219,198.9079,-109.0064,37.0010,14.1390
5.07,"","","",195.2261,-133.7425,199.1846,-113.6648,37.0000,14.1300
5.10,"","","",195.4511,-135.5498,199.4641,-118.2301,37.0010,14.1100
5.13,"","","",195.6626,-136.0920,199.7203,-122.4226,37.0000,14.1240
5.17,"","","",195.8704,-135.9113,199.9402,-126.3357,37.0010,14.0940
5.20,"","","",196.0656,-135.1884,200.1461,-129.7829,37.0010,14.0510
5.23,"","","",196.3150,-134.1943,200.3529,-132.8574,37.0020,14.0140
5.27,"","","",196.5319,-133.1099,200.5411,-135.5593,37.0010,13.9860
5.30,"","","",196.7352,-131.9352,200.7675,-137.1431,37.0020,13.9360
5.33,"","","",196.9521,-130.7604,201.0125,-138.0748,37.0030,13.8880
5.37,"","","",197.1635,-129.4953,201.2100,-138.1680,37.0030,13.8590
5.40,"","","",197.3470,-128.1398,201.4346,-137.6090,37.0020,13.8450
5.43,"","","",197.5214,-126.6939,201.6451,-136.6773,37.0000,13.8570
5.47,"","","",197.6850,-125.1577,201.8613,-135.5593,36.9990,13.8910
5.50,"","","",197.8747,-123.7118,202.0644,-134.2549,37.0000,13.8900
5.53,"","","",198.0979,-122.2659,202.2526,-132.7642,37.0020,13.8270
5.57,"","","",198.3564,-120.9104,202.4194,-131.0872,37.0030,13.8000
5.60,"","","",198.5913,-119.6453,202.6150,-129.3170,37.0050,13.7220
5.63,"","","",198.8037,-118.4705,202.8041,-127.4537,37.0030,13.7210
5.67,"","","",198.9293,-117.1150,202.9830,-125.5903,37.0020,13.6960
5.70,"","","",199.0667,-115.5788,203.1833,-123.8201,37.0020,13.6760
5.73,"","","",199.2239,-114.0426,203.3706,-122.0499,37.0030,13.6100
5.77,"","","",199.3911,-112.5064,203.5774,-120.3729,37.0030,13.5960
5.80,"","","",199.5393,-110.9701,203.7582,-118.6027,37.0010,13.5830
5.83,"","","",199.7245,-109.4339,203.9287,-116.9257,37.0010,13.5420
5.87,"","","",199.8528,-107.8977,204.0964,-115.2487,37.0010,13.5230
5.90,"","","",199.9920,-106.2711,204.2110,-113.5717,37.0000,13.5000
5.93,"","","",200.1357,-104.7348,204.3759,-111.8015,36.9990,13.5230
5.97,"","","",200.2505,-103.1082,204.5100,-110.0313,36.9990,13.5410
6.00,"","","",200.4411,-101.5720,204.6526,-108.3543,36.9990,13.5720
6.03,"","","",200.6246,-100.1261,204.7700,-106.4909,37.0020,13.5140
6.07,"","","",200.7303,-98.6803,204.9237,-104.5344,37.0030,13.4680
6.10,"","","",200.8668,-97.1440,205.0681,-102.6710,37.0030,13.4430
6.13,"","","",201.0267,-95.6982,205.2377,-100.9008,37.0020,13.4360
6.17,"","","",201.1957,-94.3427,205.3569,-99.1306,37.0020,13.4070
6.20,"","","",201.3421,-92.9872,205.4911,-97.3604,37.0020,13.3810
6.23,"","","",201.4740,-91.6317,205.6653,-95.6834,37.0020,13.3550
6.27,"","","",201.6231,-90.3665,205.7948,-93.9132,37.0020,13.3160
6.30,"","","",201.7261,-89.0110,205.9150,-92.1430,37.0010,13.3040
6.33,"","","",201.8436,-87.6556,206.0352,-90.5592,37.0010,13.2710
6.37,"","","",202.0027,-86.3904,206.1405,-88.8822,37.0010,13.2320
6.40,"","","",202.1454,-85.1253,206.2653,-87.2983,37.0000,13.2590
6.43,"","","",202.2449,-83.8602,206.3725,-85.7145,37.0000,13.2680
6.47,"","","",202.3307,-82.5047,206.4675,-84.2238,37.0010,13.2370
6.50,"","","",202.4527,-81.1492,206.5728,-82.7331,37.0000,13.2300
6.53,"","","",202.5991,-79.7937,206.7191,-81.2424,37.0000,13.2570
6.57,"","","",202.7283,-78.6189,206.8989,-79.8449,37.0000,13.2730
6.60,"","","",202.8187,-77.3538,207.0153,-78.4474,37.0000,13.2810
6.63,"","","",202.9488,-76.0886,207.1066,-76.9567,37.0000,13.2990
6.67,"","","",203.0392,-74.9139,207.1923,-75.6523,37.0000,13.2910
6.70,"","","",203.1431,-73.7391,207.2846,-74.1616,37.0010,13.2430
6.73,"","","",203.2371,-72.5643,207.4364,-72.9505,37.0010,13.2110
6.77,"","","",203.3302,-71.2992,207.5427,-71.6461,37.0010,13.1740
6.80,"","","",203.3961,-69.8533,207.6181,-70.4349,37.0030,13.1330
6.83,"","","",203.4657,-68.4978,207.7439,-69.3169,37.0020,13.0990
6.87,"","","",203.5687,-67.1423,207.8278,-68.1057,37.0010,13.1170
6.90,"","","",203.6817,-65.9676,207.9228,-66.8945,37.0000,13.1380
6.93,"","","",203.7612,-64.9735,208.0346,-65.7765,37.0010,13.0890
6.97,"","","",203.8543,-63.9795,208.1203,-64.6585,37.0010,13.0630
7.00,"","","",203.9754,-63.0759,208.1874,-63.4473,37.0010,13.0490
7.03,"","","",204.0838,-62.0818,208.3010,-62.4225,37.0000,13.0490
7.07,"","","",204.1579,-61.0878,208.3765,-61.3976,37.0000,13.0440
7.10,"","","",204.2257,-60.0938,208.4604,-60.3728,37.0020,12.9720
7.13,"","","",204.3061,-59.0094,208.5656,-59.5343,37.0010,12.9770
7.17,"","","",204.4164,-58.1057,208.6420,-58.6958,37.0020,12.9300
7.20,"","","",204.5121,-57.2020,208.7017,-57.7641,37.0010,12.9060
7.23,"","","",204.6504,-56.2984,208.7781,-56.8324,37.0030,12.8580
7.27,"","","",204.7381,-55.4851,208.8582,-55.9939,37.0020,12.8360
7.30,"","","",204.8194,-54.4910,208.9523,-55.0622,37.0030,12.8130
7.33,"","","",204.9098,-53.6777,208.9877,-54.1305,37.0010,12.8000
7.37,"","","",204.9324,-52.8644,209.0660,-53.1057,36.9980,12.8690
7.40,"","","",204.9631,-51.8704,209.1517,-52.0809,36.9980,12.8920
7.43,"","","",205.0191,-50.8764,209.2337,-51.1492,36.9970,12.9230
7.47,"","","",205.0878,-49.8823,209.2635,-50.2175,36.9990,12.9180
7.50,"","","",205.1836,-48.9787,209.3128,-49.2858,37.0000,12.9470
7.53,"","","",205.2667,-48.2557,209.4125,-48.3541,37.0000,12.9290
7.57,"","","",205.3354,-47.4424,209.5029,-47.5156,37.0000,12.9300
7.60,"","","",205.4402,-46.7195,209.5849,-46.7703,37.0010,12.9030
7.63,"","","",205.5116,-46.0869,209.6371,-46.0249,37.0020,12.8620
7.67,"","","",205.5631,-45.2736,209.6948,-45.1864,37.0030,12.8140
7.70,"","","",205.6074,-44.6411,209.7461,-44.3479,37.0010,12.8120
7.73,"","","",205.6426,-43.9181,209.8253,-43.5094,37.0020,12.7760
7.77,"","","",205.6788,-43.1952,209.8961,-42.7641,37.0010,12.7520
7.80,"","","",205.7267,-42.2915,209.9557,-41.9256,37.0000,12.7840
7.83,"","","",205.7845,-41.4782,209.9660,-40.9939,36.9990,12.8400
7.87,"","","",205.8487,-40.7553,210.0042,-40.0622,36.9990,12.8580
7.90,"","","",205.9083,-40.1227,210.0526,-39.2237,37.0000,12.8610
7.93,"","","",205.9761,-39.3998,210.1439,-38.5715,37.0000,12.8620
7.97,"","","",206.0674,-38.8576,210.2259,-37.9193,37.0000,12.8260
8.00,"","","",206.1071,-38.2250,210.2902,-37.2672,37.0010,12.7800
8.03,"","","",206.1586,-37.6829,210.3601,-36.6150,37.0010,12.7610
8.07,"","","",206.2119,-37.0503,210.3768,-35.9628,37.0010,12.7180
8.10,"","","",206.2680,-36.4177,210.3815,-35.3106,36.9990,12.7630
8.13,"","","",206.3348,-35.8755,210.4215,-34.5653,36.9990,12.7860
8.17,"","","",206.3882,-35.1526,210.4719,-33.9131,36.9990,12.8170
8.20,"","","",206.4460,-34.5200,210.5073,-33.2609,36.9990,12.8420
8.23,"","","",206.4632,-33.8875,210.5399,-32.5156,37.0000,12.8380
8.27,"","","",206.4686,-33.0742,210.5865,-31.8634,37.0000,12.8660
8.30,"","","",206.5056,-32.3512,210.6666,-31.3044,37.0010,12.8220
8.33,"","","",206.5526,-31.6283,210.7551,-30.8386,37.0010,12.7940
8.37,"","","",206.6014,-30.9957,210.7569,-30.2796,37.0020,12.7590
8.40,"","","",206.7035,-30.4535,210.7951,-29.7206,37.0030,12.6980
8.43,"","","",206.7668,-29.9113,210.8101,-29.1615,37.0010,12.6900
8.47,"","","",206.8526,-29.4595,210.8250,-28.5094,37.0020,12.6470
8.50,"","","",206.8969,-29.0077,210.9153,-28.0435,37.0000,12.6700
8.53,"","","",206.9186,-28.6462,210.9507,-27.5777,37.0000,12.6620
8.57,"","","",206.9376,-28.2847,210.9675,-27.0187,37.0020,12.6070
8.60,"","","",206.9475,-27.9233,210.9992,-26.4597,37.0010,12.5920
8.63,"","","",206.9466,-27.4714,211.0532,-25.9938,37.0000,12.6130
8.67,"","","",206.9999,-27.1100,211.0942,-25.4348,36.9990,12.6400
8.70,"","","",207.0596,-26.7485,211.1333,-24.9690,37.0000,12.6130
8.73,"","","",207.0930,-26.2063,211.1594,-24.5032,37.0000,12.5840
8.77,"","","",207.1274,-25.7545,211.1306,-23.9441,36.9990,12.6090
8.80,"","","",207.1653,-25.2123,211.1557,-23.2920,37.0000,12.6010
8.83,"","","",207.2060,-24.7604,211.2526,-22.7330,37.0010,12.5690
8.87,"","","",207.2430,-24.3990,211.2806,-22.2671,36.9990,12.6080
8.90,"","","",207.2855,-24.0375,211.2880,-21.8013,36.9990,12.6250
8.93,"","","",207.3479,-23.7664,211.3355,-21.4286,37.0010,12.5780
8.97,"","","",207.3722,-23.4953,211.3700,-21.0559,37.0000,12.5600
9.00,"","","",207.4057,-23.3146,211.3998,-20.6833,37.0010,12.5380
9.03,"","","",207.4409,-22.9531,211.4296,-20.3106,36.9990,12.5770
9.07,"","","",207.4897,-22.6820,211.4585,-19.9379,37.0000,12.5940
9.10,"","","",207.4807,-22.3205,211.4734,-19.5653,37.0000,12.6200
9.13,"","","",207.4644,-21.7783,211.4445,-19.1926,37.0010,12.5920
9.17,"","","",207.4599,-21.1458,211.4688,-18.7267,37.0010,12.5490
9.20,"","","",207.4951,-20.6036,211.5563,-18.2609,37.0000,12.5410
9.23,"","","",207.5467,-20.1517,211.5992,-17.8882,37.0000,12.5360
9.27,"","","",207.5900,-19.6999,211.6215,-17.6087,36.9980,12.6150
9.30,"","","",207.6289,-19.3384,211.5927,-17.2361,36.9980,12.6200
9.33,"","","",207.6551,-18.9770,211.6076,-16.9566,36.9990,12.6510
9.37,"","","",207.6885,-18.6155,211.6383,-16.6771,36.9990,12.6730
9.40,"","","",207.7418,-18.3444,211.6635,-16.3975,37.0010,12.6340
9.43,"","","",207.7428,-17.9829,211.6486,-15.9317,37.0010,12.5970
9.47,"","","",207.7635,-17.7118,211.6728,-15.5590,37.0020,12.5650
9.50,"","","",207.8241,-17.5311,211.7129,-15.1864,37.0010,12.5460
9.53,"","","",207.8322,-17.2600,211.7343,-14.8137,37.0020,12.5030
9.57,"","","",207.8277,-16.8985,211.7296,-14.3479,37.0010,12.4870
9.60,"","","",207.8729,-16.5371,211.7622,-13.9752,36.9990,12.5110
9.63,"","","",207.8846,-16.1756,211.7799,-13.6025,37.0000,12.5290
9.67,"","","",207.8846,-15.7238,211.7958,-13.3230,36.9990,12.5600
9.70,"","","",207.9081,-15.2719,211.8396,-13.1367,37.0000,12.5350
9.73,"","","",207.9298,-14.9105,211.8545,-12.8572,37.0010,12.4930
9.77,"","","",207.9732,-14.7297,211.8684,-12.5777,37.0000,12.4980
9.80,"","","",208.0328,-14.6394,211.8582,-12.2050,37.0000,12.5000
9.83,"","","",208.0645,-14.5490,211.8573,-11.8323,37.0020,12.4510
9.87,"","","",208.0509,-14.4586,211.8573,-11.5528,37.0000,12.4830
9.90,"","","",208.0771,-14.2779,211.9299,-11.2733,37.0010,12.4510
9.93,"","","",208.0554,-14.0068,211.9579,-11.0870,37.0010,12.4470
9.97,"","","",208.0762,-13.6453,211.9756,-10.9006,37.0010,12.4020
10.00,"","","",208.0807,-13.2839,212.0268,-10.8075,37.0010,12.3720
10.03,"","","",208.0861,-13.0128,212.0259,-10.6211,37.0000,12.3740
10.07,"","","",208.1178,-12.6513,212.0520,-10.5280,37.0000,12.4060
10.10,"","","",208.1331,-12.3802,212.0594,-10.3416,37.0000,12.4430
10.13,"","","",208.1431,-12.0188,212.0697,-10.0621,37.0000,12.4430
10.17,"","","",208.1548,-11.7477,212.0408,-9.8758,37.0010,12.4120
10.20,"","","",208.1846,-11.4766,212.0045,-9.5963,36.9990,12.4450
10.23,"","","",208.2127,-11.2958,212.0278,-9.3168,36.9970,12.4970
10.27,"","","",208.2235,-11.1151,212.0455,-9.1305,36.9990,12.4960
10.30,"","","",208.2678,-11.0247,212.0781,-8.9441,36.9990,12.5280
10.33,"","","",208.2895,-10.9344,212.1051,-8.7578,36.9990,12.5490
10.37,"","","",208.2696,-10.7536,212.0986,-8.6646,37.0010,12.4950
10.40,"","","",208.2786,-10.6633,212.0948,-8.4783,37.0020,12.4670
10.43,"","","",208.2931,-10.4825,212.1125,-8.2919,37.0020,12.4280
10.47,"","","",208.3175,-10.2114,212.1433,-8.0124,37.0020,12.3860
10.50,"","","",208.3383,-9.9403,212.1601,-7.8261,37.0000,12.4030
10.53,"","","",208.3356,-9.5789,212.1712,-7.7329,37.0010,12.3800
10.57,"","","",208.3581,-9.3981,212.1545,-7.6398,36.9990,12.4350
10.60,"","","",208.3491,-9.1270,212.1452,-7.5466,37.0000,12.4080
10.63,"","","",208.3527,-8.8559,212.1591,-7.2671,37.0000,12.4210
10.67,"","","",208.3482,-8.5848,212.2011,-7.1739,36.9990,12.4390
10.70,"","","",208.3491,-8.3137,212.2206,-6.9876,37.0000,12.4030
10.73,"","","",208.3600,-8.0426,212.1861,-6.8013,37.0000,12.4000
10.77,"","","",208.3844,-7.8619,212.1312,-6.5218,37.0000,12.4320
10.80,"","","",208.4503,-7.7715,212.1750,-6.2422,37.0000,12.4540
10.83,"","","",208.4865,-7.6812,212.2169,-6.0559,36.9990,12.5080
10.87,"","","",208.4585,-7.5908,212.1899,-5.7764,37.0000,12.4910
10.90,"","","",208.4431,-7.4101,212.1498,-5.4037,37.0010,12.4540
10.93,"","","",208.4169,-7.2293,212.1601,-5.1242,37.0010,12.4250
10.97,"","","",208.4422,-6.9582,212.2076,-4.9379,37.0020,12.3850
11.00,"","","",208.4964,-6.8679,212.2029,-4.6584,37.0000,12.4140
11.03,"","","",208.5181,-6.6871,212.2113,-4.4721,37.0000,12.3840
11.07,"","","",208.5091,-6.5064,212.2374,-4.2857,37.0000,12.3900
11.10,"","","",208.5217,-6.4160,212.2607,-4.1926,37.0000,12.3810
11.13,"","","",208.5488,-6.4160,212.2514,-4.0062,37.0000,12.4060
11.17,"","","",208.5479,-6.4160,212.2430,-3.8199,36.9980,12.4590
11.20,"","","",208.5380,-6.4160,212.2905,-3.6335,36.9990,12.4910
11.23,"","","",208.5750,-6.4160,212.2933,-3.5404,37.0000,12.4650
11.27,"","","",208.5597,-6.2353,212.2812,-3.4472,37.0010,12.4350
11.30,"","","",208.5407,-6.1449,212.2570,-3.2609,37.0000,12.4340
11.33,"","","",208.5642,-5.9642,212.2430,-3.2609,37.0000,12.4320
11.37,"","","",208.5615,-5.7835,212.2290,-3.0745,37.0010,12.3900
11.40,"","","",208.5533,-5.6027,212.2616,-3.0745,37.0010,12.3700
11.43,"","","",208.5371,-5.3316,212.2914,-3.0745,36.9990,12.3930
11.47,"","","",208.5163,-5.0605,212.3054,-3.0745,37.0000,12.3990
11.50,"","","",208.5362,-4.7894,212.3045,-3.0745,36.9980,12.4380
11.53,"","","",208.5823,-4.6087,212.3138,-2.9814,36.9990,12.4450
