"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [M]","1A: O2 slope neg. [pmol/(s*mL)]","1B: O2 concentration [M]","1B: O2 slope neg. [pmol/(s*mL)]","1: Block temp. [°C]","1: Peltier power [%]"
7.90,"","","",207.5035,-95.5845,215.7424,-103.1379,37.0020,15.5850
7.93,"","","",207.6178,-93.8614,215.8656,-101.3515,37.0020,15.5740
7.97,"","","",207.7602,-92.1383,215.9869,-99.6592,37.0010,15.5490
8.00,"","","",207.8481,-90.4153,216.1383,-97.9669,37.0010,15.5320
8.03,"","","",207.9488,-88.6015,216.3178,-96.3686,37.0000,15.5550
8.07,"","","",208.0767,-86.8785,216.4419,-94.7703,37.0020,15.4910
8.10,"","","",208.1837,-85.2461,216.5529,-93.1720,37.0020,15.4840
8.13,"","","",208.3025,-83.6137,216.6807,-91.5737,37.0000,15.4760
8.17,"","","",208.4258,-81.9814,216.8096,-89.9753,37.0010,15.4480
8.20,"","","",208.5582,-80.5304,216.9468,-88.4711,36.9990,15.4790
8.23,"","","",208.6942,-79.0794,217.0596,-86.9668,37.0000,15.4960
8.27,"","","",208.7985,-77.6284,217.1725,-85.5565,37.0000,15.5050
8.30,"","","",208.8384,-76.0867,217.2909,-84.0522,37.0010,15.4680
8.33,"","","",208.9228,-74.4543,217.4273,-82.5479,37.0000,15.4410
8.37,"","","",209.0289,-72.9126,217.5250,-81.1376,37.0000,15.4270
8.40,"","","",209.0960,-71.3709,217.6322,-79.7274,36.9990,15.4640
8.43,"","","",209.1830,-69.8293,217.6557,-78.2231,37.0000,15.4810
8.47,"","","",209.2592,-68.3783,217.7319,-76.6248,36.9990,15.5220
8.50,"","","",209.3100,-66.8366,217.8532,-75.0265,36.9990,15.5550
8.53,"","","",209.3699,-65.2949,217.9161,-73.4282,37.0000,15.5700
8.57,"","","",209.4225,-63.6625,218.0233,-71.8298,36.9990,15.6210
8.60,"","","",209.4832,-62.1208,218.0910,-70.3256,36.9990,15.6180
8.63,"","","",209.5331,-60.5791,218.1615,-68.9153,37.0010,15.5870
8.67,"","","",209.5866,-58.8561,218.2593,-67.4110,37.0000,15.5950
8.70,"","","",209.7118,-57.4051,218.3449,-65.9067,37.0000,15.6150
8.73,"","","",209.8188,-56.0448,218.4144,-64.2144,37.0000,15.6400
8.77,"","","",209.8904,-54.6845,218.5047,-62.7101,37.0000,15.6630
8.80,"","","",209.9321,-53.3242,218.6091,-61.2998,37.0010,15.6260
8.83,"","","",209.9911,-51.9638,218.7050,-59.9836,37.0010,15.5970
8.87,"","","",210.0545,-50.6942,218.7454,-58.5733,36.9990,15.6290
8.90,"","","",210.0972,-49.4246,218.7736,-57.1630,37.0000,15.6210
8.93,"","","",210.1516,-48.0643,218.8253,-55.6587,37.0010,15.5830
8.97,"","","",210.2259,-46.7040,218.9240,-54.1544,37.0020,15.5450
9.00,"","","",210.2831,-45.5250,218.9955,-52.7442,37.0010,15.5350
9.03,"","","",210.3438,-44.2554,219.0650,-51.4279,37.0000,15.5210
9.07,"","","",210.4010,-42.9858,219.1421,-50.2997,37.0000,15.5070
9.10,"","","",210.4246,-41.8069,219.2474,-49.1715,37.0010,15.4850
9.13,"","","",210.4091,-40.5372,219.3227,-48.0433,37.0020,15.4470
9.17,"","","",210.4617,-39.2676,219.3321,-46.8210,37.0010,15.4340
9.20,"","","",210.5597,-38.1794,219.3809,-45.6928,37.0000,15.4220
9.23,"","","",210.6096,-37.1818,219.4298,-44.6586,37.0000,15.4050
9.27,"","","",210.6812,-36.2749,219.5408,-43.6244,37.0000,15.4250
9.30,"","","",210.7510,-35.3681,219.6010,-42.5902,37.0000,15.4420
9.33,"","","",210.7746,-34.4612,219.6451,-41.5560,36.9990,15.4760
9.37,"","","",210.8063,-33.5543,219.6893,-40.6158,36.9990,15.5060
9.40,"","","",210.8472,-32.7381,219.7627,-39.7697,36.9980,15.5380
9.43,"","","",210.8871,-31.8313,219.8181,-38.9235,37.0020,15.4810
9.47,"","","",210.9596,-31.1058,219.8896,-38.1714,37.0020,15.4540
9.50,"","","",211.0349,-30.4709,219.9319,-37.4192,37.0030,15.4180
9.53,"","","",211.0975,-29.9268,220.0175,-36.7611,37.0030,15.3900
9.57,"","","",211.1201,-29.5641,220.1049,-36.2910,37.0030,15.3570
9.60,"","","",211.1328,-29.1106,220.1086,-35.6329,37.0040,15.3200
9.63,"","","",211.1646,-28.5665,220.1378,-35.0688,37.0030,15.3040
9.67,"","","",211.2045,-28.0224,220.1961,-34.5987,37.0030,15.2900
9.70,"","","",211.2598,-27.6596,220.3042,-34.2226,37.0010,15.2730
9.73,"","","",211.3097,-27.2062,220.3719,-33.9405,37.0010,15.2740
9.77,"","","",211.3867,-26.9341,220.3963,-33.4705,36.9990,15.3010
9.80,"","","",211.4575,-26.6621,220.3813,-32.9063,37.0010,15.2750
9.83,"","","",211.5137,-26.4807,220.4039,-32.3422,37.0010,15.2330
9.87,"","","",211.5427,-26.1180,220.4659,-31.6841,37.0010,15.2290
9.90,"","","",211.5890,-25.8459,220.5327,-31.2140,37.0010,15.1910
9.93,"","","",211.6298,-25.5738,220.5844,-30.7439,37.0000,15.1880
9.97,"","","",211.6779,-25.2111,220.6756,-30.2738,37.0000,15.1880
10.00,"","","",211.7105,-24.8483,220.6934,-29.8978,37.0000,15.1970
10.03,"","","",211.7431,-24.5763,220.7658,-29.5217,36.9990,15.2170
10.07,"","","",211.8075,-24.4856,220.7574,-29.0516,36.9990,15.2410
10.10,"","","",211.8710,-24.3949,220.7950,-28.5815,37.0000,15.2380
10.13,"","","",211.9009,-24.3042,220.8044,-28.1114,37.0010,15.2110
10.17,"","","",211.9445,-24.2135,220.8147,-27.6413,37.0010,15.1790
10.20,"","","",211.9817,-24.0321,220.8796,-27.1712,37.0010,15.1530
10.23,"","","",212.0152,-23.9415,220.9623,-26.7011,37.0000,15.1280
10.27,"","","",212.0751,-23.8508,221.0432,-26.3251,37.0010,15.0960
10.30,"","","",212.1077,-23.7601,221.1062,-25.9490,37.0000,15.0910
10.33,"","","",212.1313,-23.6694,221.0968,-25.5729,36.9990,15.1280
10.37,"","","",212.1739,-23.5787,221.1306,-25.1969,37.0000,15.1560
10.40,"","","",212.2156,-23.4880,221.1475,-24.7268,36.9990,15.1800
10.43,"","","",212.2256,-23.3066,221.2134,-24.4447,37.0010,15.1390
10.47,"","","",212.2428,-22.9439,221.2773,-24.2567,37.0030,15.0910
10.50,"","","",212.2963,-22.6718,221.3055,-23.8806,37.0010,15.0920
10.53,"","","",212.3471,-22.4905,221.2876,-23.5045,37.0020,15.0490
10.57,"","","",212.4034,-22.3091,221.3093,-23.0344,37.0020,15.0290
10.60,"","","",212.4405,-22.1277,221.3732,-22.6584,37.0010,15.0140
10.63,"","","",212.4587,-22.0370,221.4409,-22.3763,36.9990,15.0430
10.67,"","","",212.5004,-21.8556,221.4277,-22.0002,36.9990,15.0940
10.70,"","","",212.5575,-21.6743,221.4747,-21.6242,37.0000,15.0970
10.73,"","","",212.6364,-21.5836,221.4682,-21.2481,36.9980,15.1400
10.77,"","","",212.6736,-21.4022,221.5142,-20.8720,37.0000,15.1260
10.80,"","","",212.6691,-21.2208,221.5706,-20.4960,37.0010,15.0920
10.83,"","","",212.7108,-21.1301,221.6129,-20.2139,37.0010,15.0690
10.87,"","","",212.7398,-21.0395,221.6355,-19.9318,37.0010,15.0370
10.90,"","","",212.7434,-20.8581,221.6665,-19.7438,37.0020,14.9950
10.93,"","","",212.7987,-20.5860,221.6759,-19.4618,37.0020,14.9720
10.97,"","","",212.8550,-20.4047,221.7211,-19.1797,37.0020,14.9450
11.00,"","","",212.8894,-20.1326,221.6872,-18.8036,37.0020,14.9260
11.03,"","","",212.9194,-19.9512,221.6590,-18.3335,37.0010,14.9140
11.07,"","","",212.9584,-19.6792,221.6929,-18.0515,37.0000,14.9060
11.10,"","","",212.9593,-19.4978,221.8038,-17.8634,36.9990,14.9420
11.13,"","","",212.9919,-19.3164,221.8677,-17.5814,36.9980,14.9720
11.17,"","","",213.0518,-19.2257,221.8658,-17.2053,36.9990,14.9920
11.20,"","","",213.0853,-19.0443,221.8856,-16.9233,37.0000,14.9730
11.23,"","","",213.0753,-18.8630,221.9213,-16.6412,37.0010,14.9400
11.27,"","","",213.0944,-18.6816,221.9317,-16.3592,37.0000,14.9730
11.30,"","","",213.1370,-18.4095,221.9843,-16.2651,36.9990,15.0170
11.33,"","","",213.1533,-18.2282,222.0426,-16.1711,37.0000,15.0020
11.37,"","","",213.1869,-17.9561,222.0050,-15.9831,37.0010,14.9750
11.40,"","","",213.2195,-17.7747,222.0097,-15.7010,37.0020,14.9180
11.43,"","","",213.2132,-17.5027,222.0398,-15.4190,37.0000,14.9240
11.47,"","","",213.2567,-17.3213,222.0887,-15.0429,37.0010,14.8890
11.50,"","","",213.2803,-17.0492,222.0576,-14.6668,37.0000,14.8730
11.53,"","","",213.3075,-16.8678,222.1159,-14.2908,37.0000,14.8800
11.57,"","","",213.3592,-16.6865,222.1394,-14.0087,37.0000,14.8870
11.60,"","","",213.3873,-16.5051,222.1658,-13.9147,37.0010,14.8420
11.63,"","","",213.4109,-16.3237,222.1479,-13.7266,37.0010,14.8260
